lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,15426000,7.71,-250000000
C,signed_char,100,200000,3498000,17.49,-359200000
C,signed_char,1000,20000,3606000,180.30,-345260000
C,signed_char,10000,2000,3052000,1526.00,-356770000
C,signed_char,100000,200,3337000,16685.00,-347166400
C,signed_char,1000000,20,3286000,164300.00,-348140220
C,signed_char,10000000,2,3611000,1805500.00,-348206136
C,signed_char,100000000,1,26560000,26560000.00,-348616112
C,short,10,2000000,10560000,5.28,-923614616112
C,short,100,200000,3150000,15.75,-1401744816112
C,short,1000,20000,3437000,171.85,-870313296112
C,short,10000,2000,3051000,1525.50,-805490530112
C,short,100000,200,3175000,15875.00,-834381747512
C,short,1000000,20,3389000,169450.00,-848650115952
C,short,10000000,2,4654000,2327000.00,-848705383904
C,short,100000000,1,33207000,33207000.00,-849059864573
C,int,10,2000000,11052000,5.53,-1209262229715864573
C,int,100,200000,3027000,15.13,-1084038569968864573
C,int,1000,20000,3183000,159.15,-1390965931732164573
C,int,10000,2000,3714000,1857.00,-1457346695270218573
C,int,100000,200,3600000,18000.00,-1444455240526856773
C,int,1000000,20,6701000,335050.00,-1439537793917504293
C,int,10000000,2,9207000,4603500.00,-1436380432477685299
C,int,100000000,1,50446000,50446000.00,-1430386456639938164
C,float,10,2000000,15535000,7.77,1519362.421706
C,float,100,200000,3226000,16.13,1709330.855310
C,float,1000,20000,2477000,123.85,2002245.513760
C,float,10000,2000,3259000,1629.50,2091637.019075
C,float,100000,200,3466000,17330.00,2109651.697204
C,float,1000000,20,6137000,306850.00,2102934.703357
C,float,10000000,2,7302000,3651000.00,2100367.604967
C,float,100000000,1,50705000,50705000.00,2098426.009423
C,double,10,2000000,9794000,4.90,1647676.142759
C,double,100,200000,2498000,12.49,2388932.985149
C,double,1000,20000,1842000,92.10,2344588.932216
C,double,10000,2000,3398000,1699.00,2388113.952215
C,double,100000,200,6005000,30025.00,2405788.834276
C,double,1000000,20,17912000,895600.00,2403222.380152
C,double,10000000,2,21563000,10781500.00,2403048.033911
C,double,100000000,1,129162000,129162000.00,2398392.933472
