lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,10890000,5.45,-250000000
C,signed_char,100,200000,8796000,43.98,-359200000
C,signed_char,1000,20000,8090000,404.50,-345260000
C,signed_char,10000,2000,8478000,4239.00,-356770000
C,signed_char,100000,200,8801000,44005.00,-347166400
C,signed_char,1000000,20,9721000,486050.00,-348140220
C,signed_char,10000000,2,10246000,5123000.00,-348206136
C,signed_char,100000000,1,49513000,49513000.00,-348616112
C,short,10,2000000,9658000,4.83,-923614616112
C,short,100,200000,7964000,39.82,-1401744816112
C,short,1000,20000,7510000,375.50,-870313296112
C,short,10000,2000,7789000,3894.50,-805490530112
C,short,100000,200,10103000,50515.00,-834381747512
C,short,1000000,20,8322000,416100.00,-848650115952
C,short,10000000,2,9560000,4780000.00,-848705383904
C,short,100000000,1,55630000,55630000.00,-849059864573
C,int,10,2000000,13806000,6.90,-1209262229715864573
C,int,100,200000,8427000,42.13,-1084038569968864573
C,int,1000,20000,8048000,402.40,-1390965931732164573
C,int,10000,2000,8192000,4096.00,-1457346695270218573
C,int,100000,200,8493000,42465.00,-1444455240526856773
C,int,1000000,20,9868000,493400.00,-1439537793917504293
C,int,10000000,2,10880000,5440000.00,-1436380432477685299
C,int,100000000,1,74002000,74002000.00,-1430386456639938164
C,float,10,2000000,11331000,5.67,1519362.421706
C,float,100,200000,6354000,31.77,1709330.855310
C,float,1000,20000,6251000,312.55,2002245.513760
C,float,10000,2000,6695000,3347.50,2091637.019075
C,float,100000,200,6199000,30995.00,2109651.697204
C,float,1000000,20,7949000,397450.00,2102934.703357
C,float,10000000,2,9329000,4664500.00,2100367.604967
C,float,100000000,1,60087000,60087000.00,2098426.009423
C,double,10,2000000,8785000,4.39,1647676.142759
C,double,100,200000,4717000,23.59,2388932.985149
C,double,1000,20000,5885000,294.25,2344588.932216
C,double,10000,2000,7030000,3515.00,2388113.952215
C,double,100000,200,7026000,35130.00,2405788.834276
C,double,1000000,20,13435000,671750.00,2403222.380152
C,double,10000000,2,16878000,8439000.00,2403048.033911
C,double,100000000,1,114294000,114294000.00,2398392.933472
