lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,10090000,5.04,-250000000
C,signed_char,100,200000,7714000,38.57,-359200000
C,signed_char,1000,20000,9158000,457.90,-345260000
C,signed_char,10000,2000,8329000,4164.50,-356770000
C,signed_char,100000,200,7835000,39175.00,-347166400
C,signed_char,1000000,20,8041000,402050.00,-348140220
C,signed_char,10000000,2,8934000,4467000.00,-348206136
C,signed_char,100000000,1,49517000,49517000.00,-348616112
C,short,10,2000000,8374000,4.19,-923614616112
C,short,100,200000,7714000,38.57,-1401744816112
C,short,1000,20000,7804000,390.20,-870313296112
C,short,10000,2000,8207000,4103.50,-805490530112
C,short,100000,200,8855000,44275.00,-834381747512
C,short,1000000,20,8628000,431400.00,-848650115952
C,short,10000000,2,9881000,4940500.00,-848705383904
C,short,100000000,1,57284000,57284000.00,-849059864573
C,int,10,2000000,8053000,4.03,-1209262229715864573
C,int,100,200000,6847000,34.23,-1084038569968864573
C,int,1000,20000,6856000,342.80,-1390965931732164573
C,int,10000,2000,6926000,3463.00,-1457346695270218573
C,int,100000,200,7303000,36515.00,-1444455240526856773
C,int,1000000,20,8579000,428950.00,-1439537793917504293
C,int,10000000,2,12768000,6384000.00,-1436380432477685299
C,int,100000000,1,76331000,76331000.00,-1430386456639938164
C,float,10,2000000,8071000,4.04,1519362.421706
C,float,100,200000,6464000,32.32,1709330.855310
C,float,1000,20000,6220000,311.00,2002245.513760
C,float,10000,2000,6441000,3220.50,2091637.019075
C,float,100000,200,6224000,31120.00,2109651.697204
C,float,1000000,20,8120000,406000.00,2102934.703357
C,float,10000000,2,8226000,4113000.00,2100367.604967
C,float,100000000,1,75201000,75201000.00,2098426.009423
C,double,10,2000000,6244000,3.12,1647676.142759
C,double,100,200000,4806000,24.03,2388932.985149
C,double,1000,20000,5915000,295.75,2344588.932216
C,double,10000,2000,7019000,3509.50,2388113.952215
C,double,100000,200,7410000,37050.00,2405788.834276
C,double,1000000,20,16853000,842650.00,2403222.380152
C,double,10000000,2,18217000,9108500.00,2403048.033911
C,double,100000000,1,133724000,133724000.00,2398392.933472
