lang,type,N,median_avg_ns,runs
C,double,10,3.860000,5
C,double,100,77.220000,5
C,double,1000,1249.600000,5
C,double,10000,12738.500000,5
C,double,100000,146155.000000,5
C,double,1000000,1456750.000000,5
C,double,10000000,17530000.000000,5
C,double,100000000,181152000.000000,5
C,float,10,8.050000,5
C,float,100,124.380000,5
C,float,1000,1320.450000,5
C,float,10000,14112.500000,5
C,float,100000,136455.000000,5
C,float,1000000,1724350.000000,5
C,float,10000000,16100000.000000,5
C,float,100000000,166398000.000000,5
C,int,10,4.280000,5
C,int,100,38.100000,5
C,int,1000,393.300000,5
C,int,10000,3841.000000,5
C,int,100000,41315.000000,5
C,int,1000000,630250.000000,5
C,int,10000000,6919500.000000,5
C,int,100000000,82777000.000000,5
C,short,10,4.530000,5
C,short,100,40.820000,5
C,short,1000,385.450000,5
C,short,10000,3953.500000,5
C,short,100000,43530.000000,5
C,short,1000000,472900.000000,5
C,short,10000000,5152000.000000,5
C,short,100000000,56681000.000000,5
C,signed_char,10,4.280000,5
C,signed_char,100,39.380000,5
C,signed_char,1000,395.500000,5
C,signed_char,10000,3992.000000,5
C,signed_char,100000,41390.000000,5
C,signed_char,1000000,428250.000000,5
C,signed_char,10000000,4495500.000000,5
C,signed_char,100000000,52545000.000000,5
