lang,type,N,mean_avg_ns,runs
C,double,10,3.614000,5
C,double,100,80.036000,5
C,double,1000,1238.300000,5
C,double,10000,13140.300000,5
C,double,100000,137290.000000,5
C,double,1000000,1480230.000000,5
C,double,10000000,16930000.000000,5
C,double,100000000,190177000.000000,5
C,float,10,8.240000,5
C,float,100,123.362000,5
C,float,1000,1321.290000,5
C,float,10000,14345.700000,5
C,float,100000,160191.000000,5
C,float,1000000,1535110.000000,5
C,float,10000000,14375300.000000,5
C,float,100000000,167511800.000000,5
C,int,10,5.294000,5
C,int,100,49.188000,5
C,int,1000,468.420000,5
C,int,10000,8501.000000,5
C,int,100000,118890.000000,5
C,int,1000000,1393790.000000,5
C,int,10000000,7261800.000000,5
C,int,100000000,149126000.000000,5
C,short,10,4.312000,5
C,short,100,41.214000,5
C,short,1000,383.080000,5
C,short,10000,4015.900000,5
C,short,100000,40973.000000,5
C,short,1000000,439030.000000,5
C,short,10000000,5214300.000000,5
C,short,100000000,110717600.000000,5
C,signed_char,10,5.332000,5
C,signed_char,100,43.976000,5
C,signed_char,1000,424.350000,5
C,signed_char,10000,4357.400000,5
C,signed_char,100000,46143.000000,5
C,signed_char,1000000,521630.000000,5
C,signed_char,10000000,5065900.000000,5
C,signed_char,100000000,52048200.000000,5
