lang,type,N,avg_ns
C,signed_char,10,4.610000000000
C,signed_char,100,38.800000000000
C,signed_char,1000,416.900000000000
C,signed_char,10000,3835.500000000000
C,signed_char,100000,40220.000000000000
C,signed_char,1000000,437350.000000000000
C,signed_char,10000000,5054000.000000000000
C,signed_char,100000000,50369000.000000000000
C,short,10,4.110000000000
C,short,100,40.540000000000
C,short,1000,386.850000000000
C,short,10000,4002.500000000000
C,short,100000,38360.000000000000
C,short,1000000,405550.000000000000
C,short,10000000,4923000.000000000000
C,short,100000000,171003000.000000000000
C,int,10,4.330000000000
C,int,100,39.240000000000
C,int,1000,377.900000000000
C,int,10000,4179.000000000000
C,int,100000,45295.000000000000
C,int,1000000,657100.000000000000
C,int,10000000,7162000.000000000000
C,int,100000000,119522000.000000000000
C,float,10,8.580000000000
C,float,100,129.970000000000
C,float,1000,1371.500000000000
C,float,10000,16948.500000000000
C,float,100000,255390.000000000000
C,float,1000000,1652100.000000000000
C,float,10000000,14555500.000000000000
C,float,100000000,164077000.000000000000
C,double,10,3.480000000000
C,double,100,82.110000000000
C,double,1000,1189.800000000000
C,double,10000,12925.000000000000
C,double,100000,134510.000000000000
C,double,1000000,1459200.000000000000
C,double,10000000,16208500.000000000000
C,double,100000000,202902000.000000000000
