lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,15581000,7.79,-250000000
C,signed_char,100,200000,14143000,70.72,-359200000
C,signed_char,1000,20000,12070000,603.50,-345260000
C,signed_char,10000,2000,12083000,6041.50,-356770000
C,signed_char,100000,200,12481000,62405.00,-347166400
C,signed_char,1000000,20,12886000,644300.00,-348140220
C,short,10,2000000,10976000,5.49,-923614140220
C,short,100,200000,13821000,69.11,-1401744340220
C,short,1000,20000,12286000,614.30,-870312820220
C,short,10000,2000,12066000,6033.00,-805490054220
C,short,100000,200,13224000,66120.00,-834381271620
C,short,1000000,20,16756000,837800.00,-848649640060
C,int,10,2000000,10897000,5.45,-1209262229305640060
C,int,100,200000,13060000,65.30,-1084038569558640060
C,int,1000,20000,12132000,606.60,-1390965931321940060
C,int,10000,2000,13664000,6832.00,-1457346694859994060
C,int,100000,200,13124000,65620.00,-1444455240116632260
C,int,1000000,20,15052000,752600.00,-1439537793507279780
C,float,10,2000000,16383000,8.19,1519362.421706
C,float,100,200000,22319000,111.59,1709330.855310
C,float,1000,20000,24707000,1235.35,2002245.513760
C,float,10000,2000,25414000,12707.00,2091637.019075
C,float,100000,200,26823000,134115.00,2109651.697204
C,float,1000000,20,28943000,1447150.00,2102934.703357
C,double,10,2000000,10713000,5.36,1652184.836692
C,double,100,200000,16138000,80.69,2393441.679082
C,double,1000,20000,24121000,1206.05,2349097.626149
C,double,10000,2000,25839000,12919.50,2392622.646148
C,double,100000,200,27682000,138410.00,2410297.528209
C,double,1000000,20,29313000,1465650.00,2407731.074085
