lang,type,N,mean_avg_ns,runs
C,double,10,5.244000,5
C,double,100,11.430000,5
C,double,1000,89.870000,5
C,double,10000,1913.700000,5
C,double,100000,30101.000000,5
C,double,1000000,981430.000000,5
C,double,10000000,11116800.000000,5
C,double,100000000,141683800.000000,5
C,float,10,7.754000,5
C,float,100,16.470000,5
C,float,1000,122.870000,5
C,float,10000,1627.600000,5
C,float,100000,17202.000000,5
C,float,1000000,341470.000000,5
C,float,10000000,3818200.000000,5
C,float,100000000,57686000.000000,5
C,int,10,5.506000,5
C,int,100,16.224000,5
C,int,1000,168.580000,5
C,int,10000,1970.300000,5
C,int,100000,18617.000000,5
C,int,1000000,359880.000000,5
C,int,10000000,5369200.000000,5
C,int,100000000,60179000.000000,5
C,short,10,5.868000,5
C,short,100,18.204000,5
C,short,1000,165.520000,5
C,short,10000,1806.700000,5
C,short,100000,19023.000000,5
C,short,1000000,242610.000000,5
C,short,10000000,3138300.000000,5
C,short,100000000,37169400.000000,5
C,signed_char,10,6.452000,5
C,signed_char,100,16.574000,5
C,signed_char,1000,172.820000,5
C,signed_char,10000,1710.100000,5
C,signed_char,100000,18087.000000,5
C,signed_char,1000000,170430.000000,5
C,signed_char,10000000,2120600.000000,5
C,signed_char,100000000,27464800.000000,5
