lang,type,N,median_avg_ns,runs
C,double,10,4.990000,5
C,double,100,10.210000,5
C,double,1000,87.250000,5
C,double,10000,1865.500000,5
C,double,100000,27595.000000,5
C,double,1000000,971650.000000,5
C,double,10000000,11272500.000000,5
C,double,100000000,140598000.000000,5
C,float,10,7.630000,5
C,float,100,15.980000,5
C,float,1000,127.200000,5
C,float,10000,1645.500000,5
C,float,100000,17360.000000,5
C,float,1000000,351450.000000,5
C,float,10000000,3838000.000000,5
C,float,100000000,54667000.000000,5
C,int,10,5.340000,5
C,int,100,15.330000,5
C,int,1000,158.450000,5
C,int,10000,1700.500000,5
C,int,100000,18660.000000,5
C,int,1000000,355050.000000,5
C,int,10000000,4672500.000000,5
C,int,100000000,52596000.000000,5
C,short,10,5.940000,5
C,short,100,17.460000,5
C,short,1000,166.450000,5
C,short,10000,1690.000000,5
C,short,100000,19740.000000,5
C,short,1000000,241500.000000,5
C,short,10000000,3098500.000000,5
C,short,100000000,35463000.000000,5
C,signed_char,10,6.370000,5
C,signed_char,100,16.200000,5
C,signed_char,1000,167.000000,5
C,signed_char,10000,1737.500000,5
C,signed_char,100000,17675.000000,5
C,signed_char,1000000,174900.000000,5
C,signed_char,10000000,2016500.000000,5
C,signed_char,100000000,26995000.000000,5
