lang,type,N,avg_ns
C,signed_char,10,6.450000000000
C,signed_char,100,17.480000000000
C,signed_char,1000,162.450000000000
C,signed_char,10000,1809.000000000000
C,signed_char,100000,20785.000000000000
C,signed_char,1000000,175500.000000000000
C,signed_char,10000000,1742000.000000000000
C,signed_char,100000000,29757000.000000000000
C,short,10,5.990000000000
C,short,100,22.180000000000
C,short,1000,157.550000000000
C,short,10000,2301.000000000000
C,short,100000,19890.000000000000
C,short,1000000,255400.000000000000
C,short,10000000,3279000.000000000000
C,short,100000000,29632000.000000000000
C,int,10,5.310000000000
C,int,100,15.200000000000
C,int,1000,157.050000000000
C,int,10000,1665.500000000000
C,int,100000,18660.000000000000
C,int,1000000,345050.000000000000
C,int,10000000,4327000.000000000000
C,int,100000000,51008000.000000000000
C,float,10,7.630000000000
C,float,100,15.880000000000
C,float,1000,127.200000000000
C,float,10000,1660.000000000000
C,float,100000,16840.000000000000
C,float,1000000,351450.000000000000
C,float,10000000,3466000.000000000000
C,float,100000000,51934000.000000000000
C,double,10,4.860000000000
C,double,100,9.850000000000
C,double,1000,85.600000000000
C,double,10000,1865.500000000000
C,double,100000,27075.000000000000
C,double,1000000,889950.000000000000
C,double,10000000,11272500.000000000000
C,double,100000000,116243000.000000000000
