lang,type,N,avg_ns
C,signed_char,10,4.620000000000
C,signed_char,100,45.840000000000
C,signed_char,1000,366.700000000000
C,signed_char,10000,3979.500000000000
C,signed_char,100000,38590.000000000000
C,signed_char,1000000,409150.000000000000
C,signed_char,10000000,3849000.000000000000
C,signed_char,100000000,100524000.000000000000
C,short,10,4.960000000000
C,short,100,43.900000000000
C,short,1000,428.000000000000
C,short,10000,4319.500000000000
C,short,100000,50300.000000000000
C,short,1000000,504650.000000000000
C,short,10000000,5109000.000000000000
C,short,100000000,51463000.000000000000
C,int,10,4.890000000000
C,int,100,37.720000000000
C,int,1000,396.950000000000
C,int,10000,4048.000000000000
C,int,100000,41135.000000000000
C,int,1000000,631050.000000000000
C,int,10000000,7738000.000000000000
C,int,100000000,93516000.000000000000
C,float,10,5.540000000000
C,float,100,34.770000000000
C,float,1000,310.350000000000
C,float,10000,3311.000000000000
C,float,100000,31575.000000000000
C,float,1000000,472900.000000000000
C,float,10000000,4815500.000000000000
C,float,100000000,61320000.000000000000
C,double,10,4.730000000000
C,double,100,25.390000000000
C,double,1000,301.250000000000
C,double,10000,4411.500000000000
C,double,100000,115200.000000000000
C,double,1000000,1460550.000000000000
C,double,10000000,10810000.000000000000
C,double,100000000,152823000.000000000000
