platform,series,type,label,median_avg_ns
macOS,C-O3,float,float,125375.0
macOS,C-O3,double,double,128320.0
macOS,C-O3,int,int,38835.0
macOS,C-O3,short,short,40495.0
macOS,C-O3,signed_char,char,41025.0
macOS,C-Ofast,float,float,33275.0
macOS,C-Ofast,double,double,39515.0
macOS,C-Ofast,int,int,41960.0
macOS,C-Ofast,short,short,40000.0
macOS,C-Ofast,signed_char,char,40880.0
macOS,C-Native,float,float,17490.0
macOS,C-Native,double,double,26355.0
macOS,C-Native,int,int,17950.0
macOS,C-Native,short,short,15995.0
macOS,C-Native,signed_char,char,16600.0
macOS,Java-Normal,float,float,177134.44
macOS,Java-Normal,double,double,139319.25
macOS,Java-Normal,int,int,42909.32
macOS,Java-Normal,short,short,44372.44
macOS,Java-Normal,signed_char,char,54730.79
macOS,Java-Vector,float,float,16454.95
macOS,Java-Vector,double,double,32969.52
macOS,Java-Vector,int,int,44206.05
macOS,Java-Vector,short,short,47117.23
macOS,Java-Vector,signed_char,char,45068.58
