platform,series,type,label,median_avg_ns
Windows,C-O3,float,float,43463.0
Windows,C-O3,double,double,44856.0
Windows,C-O3,int,int,22056.0
Windows,C-O3,short,short,13642.5
Windows,C-O3,signed_char,char,17349.5
Windows,C-Ofast,float,float,32513.0
Windows,C-Ofast,double,double,26352.0
Windows,C-Ofast,int,int,22113.5
Windows,C-Ofast,short,short,13520.0
Windows,C-Ofast,signed_char,char,17442.0
Windows,C-Native,float,float,16770.5
Windows,C-Native,double,double,21908.5
Windows,C-Native,int,int,8096.0
Windows,C-Native,short,short,10434.0
Windows,C-Native,signed_char,char,16398.0
Windows,Java-Normal,float,float,41853.5
Windows,Java-Normal,double,double,41800.0
Windows,Java-Normal,int,int,10561.5
Windows,Java-Normal,short,short,21348.0
Windows,Java-Normal,signed_char,char,21564.0
Windows,Java-Vector,float,float,5954.5
Windows,Java-Vector,double,double,23636.5
Windows,Java-Vector,int,int,11302.5
Windows,Java-Vector,short,short,22586.5
Windows,Java-Vector,signed_char,char,22122.0
