type,N,C-Ofast,Java
short,10,0.43058350100603626,0.647374062165059
short,100,0.3233916687207296,0.44202087994034306
short,1000,0.3483838383838384,0.4899518822530427
short,10000,0.33271075214538115,0.498507511263408
short,100000,0.338,0.48110944541251277
short,1000000,0.3612315899338977,0.44881298633530514
short,10000000,0.3750831865335682,0.5298385065241288
short,100000000,0.33153477428757044,0.5133959001943207
int,10,0.6410788381742738,0.6444201312910284
int,100,0.7626518218623481,0.22239778787280268
int,1000,0.626400711472494,0.2301013024602026
int,10000,0.5590605717164085,0.23192154374787877
int,100000,0.5270138226882746,0.2461353384299728
int,1000000,0.4151128726520765,0.22172049492165918
int,10000000,0.6387763677619968,0.46122198603221176
int,100000000,0.44862230012846527,0.4703865792957007
float,10,0.5542168674698796,0.4356328082563824
float,100,0.9831831831831833,0.23833295514711444
float,1000,1.020369790034472,0.3144140625
float,10000,0.9844457867713682,0.24501189184292874
float,100000,0.9770999248685199,0.23628098522229782
float,1000000,0.7306618735462043,0.24154121613560442
float,10000000,0.8768810424548129,0.2713746573064141
float,100000000,0.6296114275215874,0.27659039241216504
double,10,0.4186550976138828,0.6166666666666667
double,100,0.4820809248554913,0.27265589950650515
double,1000,0.6382238126219909,0.3050623451205601
double,10000,0.5906594922737307,0.32082599333038603
double,100000,0.6668859926610148,0.300030326031758
double,1000000,0.44374806657179977,0.3218084640935803
double,10000000,0.5576586867984504,0.4272100449898798
double,100000000,0.48200322874991225,0.38739365533964354
signed_char,10,0.5922330097087378,0.5860995850622407
signed_char,100,0.3773996509598604,0.4843321582452017
signed_char,1000,0.44304190377651315,0.49252692998204667
signed_char,10000,0.4277550006211952,0.5293576554457587
signed_char,100000,0.4266634050880626,0.39400125596579183
signed_char,1000000,0.4307934288710241,0.3393260428135788
signed_char,10000000,0.36561049445005045,0.31755953669425885
signed_char,100000000,0.36347283774841077,0.32428580983533084
