lang,type,N,avg_ns
C,signed_char,10,7.790000000000
C,signed_char,100,62.560000000000
C,signed_char,1000,578.350000000000
C,signed_char,10000,5759.500000000000
C,signed_char,100000,59485.000000000000
C,signed_char,1000000,674650.000000000000
C,signed_char,10000000,6340000.000000000000
C,signed_char,100000000,70991000.000000000000
C,short,10,5.290000000000
C,short,100,69.300000000000
C,short,1000,605.000000000000
C,short,10000,6062.500000000000
C,short,100000,70425.000000000000
C,short,1000000,637650.000000000000
C,short,10000000,6929000.000000000000
C,short,100000000,75113000.000000000000
C,int,10,7.530000000000
C,int,100,65.940000000000
C,int,1000,583.350000000000
C,int,10000,5814.000000000000
C,int,100000,58940.000000000000
C,int,1000000,689950.000000000000
C,int,10000000,7881000.000000000000
C,int,100000000,88070000.000000000000
C,float,10,8.220000000000
C,float,100,112.720000000000
C,float,1000,1221.200000000000
C,float,10000,12403.500000000000
C,float,100000,124060.000000000000
C,float,1000000,1315300.000000000000
C,float,10000000,13292500.000000000000
C,float,100000000,155730000.000000000000
C,double,10,7.760000000000
C,double,100,80.270000000000
C,double,1000,1188.700000000000
C,double,10000,12484.500000000000
C,double,100000,127400.000000000000
C,double,1000000,1344300.000000000000
C,double,10000000,15676000.000000000000
C,double,100000000,171206000.000000000000
