lang,type,N,mean_avg_ns,runs
C,double,10,7.840000,5
C,double,100,82.168000,5
C,double,1000,1189.000000,5
C,double,10000,12559.000000,5
C,double,100000,126891.000000,5
C,double,1000000,1360010.000000,5
C,double,10000000,15322900.000000,5
C,double,100000000,179531000.000000,5
C,float,10,8.298000,5
C,float,100,113.696000,5
C,float,1000,1227.350000,5
C,float,10000,12444.300000,5
C,float,100000,125047.000000,5
C,float,1000000,1356480.000000,5
C,float,10000000,18226000.000000,5
C,float,100000000,155038400.000000,5
C,int,10,7.570000,5
C,int,100,65.630000,5
C,int,1000,585.290000,5
C,int,10000,5863.500000,5
C,int,100000,58886.000000,5
C,int,1000000,680890.000000,5
C,int,10000000,7529600.000000,5
C,int,100000000,108917200.000000,5
C,short,10,5.328000,5
C,short,100,68.978000,5
C,short,1000,608.430000,5
C,short,10000,6128.900000,5
C,short,100000,149811.000000,5
C,short,1000000,666750.000000,5
C,short,10000000,7053400.000000,5
C,short,100000000,75445400.000000,5
C,signed_char,10,8.542000,5
C,signed_char,100,67.230000,5
C,signed_char,1000,604.270000,5
C,signed_char,10000,6028.400000,5
C,signed_char,100000,61897.000000,5
C,signed_char,1000000,666050.000000,5
C,signed_char,10000000,6402600.000000,5
C,signed_char,100000000,69154000.000000,5
