lang,type,N,avg_ns
C,signed_char,10,11.540000000000
C,signed_char,100,78.770000000000
C,signed_char,1000,694.700000000000
C,signed_char,10000,6865.500000000000
C,signed_char,100000,63540.000000000000
C,signed_char,1000000,620150.000000000000
C,signed_char,10000000,6130500.000000000000
C,signed_char,100000000,68871000.000000000000
C,short,10,5.390000000000
C,short,100,68.950000000000
C,short,1000,616.900000000000
C,short,10000,6232.500000000000
C,short,100000,70215.000000000000
C,short,1000000,641750.000000000000
C,short,10000000,7132500.000000000000
C,short,100000000,76224000.000000000000
C,int,10,7.820000000000
C,int,100,66.530000000000
C,int,1000,583.950000000000
C,int,10000,5767.500000000000
C,int,100000,58005.000000000000
C,int,1000000,677600.000000000000
C,int,10000000,7777000.000000000000
C,int,100000000,204515000.000000000000 
C,float,10,8.340000000000
C,float,100,113.710000000000
C,float,1000,1237.650000000000
C,float,10000,12511.000000000000
C,float,100000,125650.000000000000
C,float,1000000,1410000.000000000000
C,float,10000000,37045500.000000000000
C,float,100000000,156166000.000000000000
C,double,10,8.100000000000
C,double,100,87.420000000000
C,double,1000,1195.500000000000
C,double,10000,12930.500000000000
C,double,100000,125300.000000000000
C,double,1000000,1364950.000000000000
C,double,10000000,16144500.000000000000
C,double,100000000,191611000.000000000000
