lang,type,N,median_avg_ns,runs
C,double,10,4.660000,5
C,double,100,77.910000,5
C,double,1000,1179.850000,5
C,double,10000,12436.500000,5
C,double,100000,128320.000000,5
C,double,1000000,1328900.000000,5
C,double,10000000,14276500.000000,5
C,double,100000000,171032000.000000,5
C,float,10,7.830000,5
C,float,100,111.640000,5
C,float,1000,1227.200000,5
C,float,10000,12516.000000,5
C,float,100000,125375.000000,5
C,float,1000000,1366100.000000,5
C,float,10000000,13818000.000000,5
C,float,100000000,151156000.000000,5
C,int,10,4.670000,5
C,int,100,37.940000,5
C,int,1000,384.250000,5
C,int,10000,3799.500000,5
C,int,100000,38835.000000,5
C,int,1000000,490450.000000,5
C,int,10000000,5621500.000000,5
C,int,100000000,73251000.000000,5
C,short,10,4.810000,5
C,short,100,40.460000,5
C,short,1000,385.600000,5
C,short,10000,3925.500000,5
C,short,100000,40495.000000,5
C,short,1000000,404850.000000,5
C,short,10000000,4469000.000000,5
C,short,100000000,52830000.000000,5
C,signed_char,10,5.040000,5
C,signed_char,100,42.540000,5
C,signed_char,1000,386.950000,5
C,signed_char,10000,4035.500000,5
C,signed_char,100000,41025.000000,5
C,signed_char,1000000,426850.000000,5
C,signed_char,10000000,4314000.000000,5
C,signed_char,100000000,46574000.000000,5
