lang,type,N,median_avg_ns,runs
Java,double,10,9.600000,5
Java,double,100,89.160000,5
Java,double,1000,1271.150000,5
Java,double,10000,13323.110000,5
Java,double,100000,139319.250000,5
Java,double,1000000,1428505.000000,5
Java,double,10000000,14679079.000000,5
Java,double,100000000,158262530.000000,5
Java,float,10,18.410000,5
Java,float,100,132.210000,5
Java,float,1000,1280.000000,5
Java,float,10000,16780.410000,5
Java,float,100000,177134.440000,5
Java,float,1000000,1766054.700000,5
Java,float,10000000,17678511.500000,5
Java,float,100000000,170633548.000000,5
Java,int,10,9.140000,5
Java,int,100,50.630000,5
Java,int,1000,469.880000,5
Java,int,10000,4507.990000,5
Java,int,100000,42909.320000,5
Java,int,1000000,591600.700000,5
Java,int,10000000,6383043.500000,5
Java,int,100000000,61565532.000000,5
Java,short,10,9.330000,5
Java,short,100,53.640000,5
Java,short,1000,459.290000,5
Java,short,10000,4301.540000,5
Java,short,100000,44372.440000,5
Java,short,1000000,518957.800000,5
Java,short,10000000,5257828.500000,5
Java,short,100000000,52652154.000000,5
Java,signed_char,10,9.640000,5
Java,signed_char,100,51.060000,5
Java,signed_char,1000,445.600000,5
Java,signed_char,10000,4435.470000,5
Java,signed_char,100000,54730.790000,5
Java,signed_char,1000000,635583.400000,5
Java,signed_char,10000000,7322249.000000,5
Java,signed_char,100000000,71810111.000000,5
