lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,54617127,27.31,-374030363170000
Java,signed_char,100,200000,30807760,154.04,-374030292970000
Java,signed_char,1000,20000,19290175,964.51,-374030273470000
Java,signed_char,10000,2000,28322453,14161.23,-374030284084000
Java,signed_char,100000,200,22480264,112401.32,-374030285408400
Java,signed_char,1000000,20,21115097,1055754.85,-374030285402940
Java,signed_char,10000000,2,41678157,20839078.50,-374030286183352
Java,signed_char,100000000,1,74556288,74556288.00,-374030286567259
Java,short,10,2000000,20854400,10.43,-373052112567259
Java,short,100,200000,10464642,52.32,-373001594167259
Java,short,1000,20000,8393318,419.67,-373096496367259
Java,short,10000,2000,8979358,4489.68,-373060137543259
Java,short,100000,200,9111671,45558.36,-373023809981059
Java,short,1000000,20,10704090,535204.50,-373026410792699
Java,short,10000000,2,10708093,5354046.50,-373024098547367
Java,short,100000000,1,52652154,52652154.00,-373020377672475
Java,int,10,2000000,18909582,9.45,-1605160608923672475
Java,int,100,200000,10126226,50.63,-1576671207743672475
Java,int,1000,20000,9397529,469.88,-1333369834322432475
Java,int,10000,2000,9015986,4507.99,-1341280413219386475
Java,int,100000,200,8500448,42502.24,-1348761053089024275
Java,int,1000000,20,11702140,585107.00,-1348323743202163375
Java,int,10000000,2,11545334,5772667.00,-1351463425100254495
Java,int,100000000,1,62468864,62468864.00,-1352371752719832650
Java,float,10,2000000,36813570,18.41,-2399980.980814
Java,float,100,200000,28012897,140.06,-2113224.255706
Java,float,1000,20000,26405513,1320.28,-2330813.528402
Java,float,10000,2000,33994938,16997.47,-2279918.255437
Java,float,100000,200,35727115,178635.58,-2278106.056705
Java,float,1000000,20,36766065,1838303.25,-2282196.871913
Java,float,10000000,2,35357023,17678511.50,-2279632.748282
Java,float,100000000,1,175421827,175421827.00,-2280508.113961
Java,double,10,2000000,15619287,7.81,-1934530.156947
Java,double,100,200000,18294518,91.47,-1971724.987732
Java,double,1000,20000,24971989,1248.60,-1889264.013028
Java,double,10000,2000,26366139,13183.07,-1838162.786215
Java,double,100000,200,27932858,139664.29,-1847050.221657
Java,double,1000000,20,28514416,1425720.80,-1836365.656246
Java,double,10000000,2,28626775,14313387.50,-1836016.371791
Java,double,100000000,1,136421709,136421709.00,-1830589.603428
