lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,19297046,9.65,-374030363170000
JavaVector,signed_char,100,200000,9526242,47.63,-374030292970000
JavaVector,signed_char,1000,20000,8321478,416.07,-374030273470000
JavaVector,signed_char,10000,2000,7642211,3821.11,-374030284084000
JavaVector,signed_char,100000,200,9013715,45068.58,-374030285408400
JavaVector,signed_char,1000000,20,13178059,658902.95,-374030285402940
JavaVector,signed_char,10000000,2,13545617,6772808.50,-374030286183352
JavaVector,signed_char,100000000,1,71205714,71205714.00,-374030286567259
JavaVector,short,10,2000000,18647768,9.32,-373052112567259
JavaVector,short,100,200000,9929143,49.65,-373001594167259
JavaVector,short,1000,20000,8817494,440.87,-373096496367259
JavaVector,short,10000,2000,8790645,4395.32,-373060137543259
JavaVector,short,100000,200,9237439,46187.20,-373023809981059
JavaVector,short,1000000,20,10496044,524802.20,-373026410792699
JavaVector,short,10000000,2,9686056,4843028.00,-373024098547367
JavaVector,short,100000000,1,178856220,178856220.00,-373020377672475
JavaVector,int,10,2000000,34462566,17.23,-1605160608923672475
JavaVector,int,100,200000,17770807,88.85,-1576671207743672475
JavaVector,int,1000,20000,13097784,654.89,-1333369834322432475
JavaVector,int,10000,2000,10897455,5448.73,-1341280413219386475
JavaVector,int,100000,200,20179660,100898.30,-1348761053089024275
JavaVector,int,1000000,20,28732366,1436618.30,-1348323743202163375
JavaVector,int,10000000,2,10914648,5457324.00,-1351463425100254495
JavaVector,int,100000000,1,58868913,58868913.00,-1352371752719832650
JavaVector,float,10,2000000,30835428,15.42,-2399980.996720
JavaVector,float,100,200000,4817509,24.09,-2113224.383820
JavaVector,float,1000,20000,2404699,120.23,-2330813.743103
JavaVector,float,10000,2000,3057602,1528.80,-2279918.452728
JavaVector,float,100000,200,3089656,15448.28,-2278106.225289
JavaVector,float,1000000,20,7496563,374828.15,-2282197.054756
JavaVector,float,10000000,2,9871201,4935600.50,-2279632.987374
JavaVector,float,100000000,1,45516120,45516120.00,-2280508.150154
JavaVector,double,10,2000000,18184013,9.09,-1934530.193141
JavaVector,double,100,200000,4290693,21.45,-1971725.023926
JavaVector,double,1000,20000,5514901,275.75,-1889264.049221
JavaVector,double,10000,2000,6583473,3291.74,-1838162.822408
JavaVector,double,100000,200,6207779,31038.90,-1847050.257850
JavaVector,double,1000000,20,16469036,823451.80,-1836365.692440
JavaVector,double,10000000,2,18846126,9423063.00,-1836016.407984
JavaVector,double,100000000,1,122795182,122795182.00,-1830589.639622
