lang,type,N,mean_avg_ns,runs
JavaVector,double,10,9.816000,5
JavaVector,double,100,23.254000,5
JavaVector,double,1000,307.906000,5
JavaVector,double,10000,3233.070000,5
JavaVector,double,100000,32819.656000,5
JavaVector,double,1000000,877269.760000,5
JavaVector,double,10000000,9699263.700000,5
JavaVector,double,100000000,123552045.000000,5
JavaVector,float,10,20.136000,5
JavaVector,float,100,25.742000,5
JavaVector,float,1000,135.708000,5
JavaVector,float,10000,1736.122000,5
JavaVector,float,100000,16612.514000,5
JavaVector,float,1000000,1247561.950000,5
JavaVector,float,10000000,5228769.100000,5
JavaVector,float,100000000,46777624.000000,5
JavaVector,int,10,11.084000,5
JavaVector,int,100,63.420000,5
JavaVector,int,1000,532.820000,5
JavaVector,int,10000,4800.952000,5
JavaVector,int,100000,56047.624000,5
JavaVector,int,1000000,843344.130000,5
JavaVector,int,10000000,6272044.200000,5
JavaVector,int,100000000,65911798.200000,5
JavaVector,short,10,17.034000,5
JavaVector,short,100,56.966000,5
JavaVector,short,1000,461.578000,5
JavaVector,short,10000,5057.690000,5
JavaVector,short,100000,48067.418000,5
JavaVector,short,1000000,529804.990000,5
JavaVector,short,10000000,5138646.800000,5
JavaVector,short,100000000,78325089.800000,5
JavaVector,signed_char,10,9.942000,5
JavaVector,signed_char,100,52.236000,5
JavaVector,signed_char,1000,441.804000,5
JavaVector,signed_char,10000,4418.688000,5
JavaVector,signed_char,100000,50287.952000,5
JavaVector,signed_char,1000000,722897.910000,5
JavaVector,signed_char,10000000,7296790.900000,5
JavaVector,signed_char,100000000,90746578.200000,5
