lang,type,N,median_avg_ns,runs
JavaVector,double,10,9.460000,5
JavaVector,double,100,21.450000,5
JavaVector,double,1000,282.680000,5
JavaVector,double,10000,3139.470000,5
JavaVector,double,100000,32969.520000,5
JavaVector,double,1000000,894822.000000,5
JavaVector,double,10000000,9654372.500000,5
JavaVector,double,100000000,101245306.000000,5
JavaVector,float,10,17.500000,5
JavaVector,float,100,26.200000,5
JavaVector,float,1000,123.080000,5
JavaVector,float,10000,1551.990000,5
JavaVector,float,100000,16454.950000,5
JavaVector,float,1000000,374828.150000,5
JavaVector,float,10000000,4935600.500000,5
JavaVector,float,100000000,45516120.000000,5
JavaVector,int,10,10.020000,5
JavaVector,int,100,52.050000,5
JavaVector,int,1000,455.950000,5
JavaVector,int,10000,4501.610000,5
JavaVector,int,100000,44206.050000,5
JavaVector,int,1000000,572683.650000,5
JavaVector,int,10000000,5741095.000000,5
JavaVector,int,100000000,59388215.000000,5
JavaVector,short,10,9.320000,5
JavaVector,short,100,55.580000,5
JavaVector,short,1000,432.070000,5
JavaVector,short,10000,4605.760000,5
JavaVector,short,100000,47117.230000,5
JavaVector,short,1000000,524802.200000,5
JavaVector,short,10000000,4986544.000000,5
JavaVector,short,100000000,53112739.000000,5
JavaVector,signed_char,10,9.650000,5
JavaVector,signed_char,100,52.360000,5
JavaVector,signed_char,1000,420.060000,5
JavaVector,signed_char,10000,4118.320000,5
JavaVector,signed_char,100000,45068.580000,5
JavaVector,signed_char,1000000,723147.800000,5
JavaVector,signed_char,10000000,7316883.000000,5
JavaVector,signed_char,100000000,73023395.000000,5
