lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,21382464,10.69,-374030363170000
JavaVector,signed_char,100,200000,10756632,53.78,-374030292970000
JavaVector,signed_char,1000,20000,8521429,426.07,-374030273470000
JavaVector,signed_char,10000,2000,7823544,3911.77,-374030284084000
JavaVector,signed_char,100000,200,10487752,52438.76,-374030285408400
JavaVector,signed_char,1000000,20,14523207,726160.35,-374030285402940
JavaVector,signed_char,10000000,2,13830781,6915390.50,-374030286183352
JavaVector,signed_char,100000000,1,161987432,161987432.00,-374030286567259
JavaVector,short,10,2000000,95391620,47.70,-373052112567259
JavaVector,short,100,200000,14299834,71.50,-373001594167259
JavaVector,short,1000,20000,11770074,588.50,-373096496367259
JavaVector,short,10000,2000,12639771,6319.89,-373060137543259
JavaVector,short,100000,200,9423445,47117.23,-373023809981059
JavaVector,short,1000000,20,11470527,573526.35,-373026410792699
JavaVector,short,10000000,2,11637424,5818712.00,-373024098547367
JavaVector,short,100000000,1,53112739,53112739.00,-373020377672475
JavaVector,int,10,2000000,18392105,9.20,-1605160608923672475
JavaVector,int,100,200000,10290489,51.45,-1576671207743672475
JavaVector,int,1000,20000,9119007,455.95,-1333369834322432475
JavaVector,int,10000,2000,8375322,4187.66,-1341280413219386475
JavaVector,int,100000,200,8841209,44206.05,-1348761053089024275
JavaVector,int,1000000,20,11453673,572683.65,-1348323743202163375
JavaVector,int,10000000,2,12216533,6108266.50,-1351463425100254495
JavaVector,int,100000000,1,68024023,68024023.00,-1352371752719832650
JavaVector,float,10,2000000,38172200,19.09,-2399980.996720
JavaVector,float,100,200000,4824868,24.12,-2113224.383820
JavaVector,float,1000,20000,2520075,126.00,-2330813.743103
JavaVector,float,10000,2000,3771425,1885.71,-2279918.452728
JavaVector,float,100000,200,3500450,17502.25,-2278106.225289
JavaVector,float,1000000,20,60989143,3049457.15,-2282197.054756
JavaVector,float,10000000,2,9469968,4734984.00,-2279632.987374
JavaVector,float,100000000,1,50961457,50961457.00,-2280508.150154
JavaVector,double,10,2000000,22706369,11.35,-1934530.193141
JavaVector,double,100,200000,5263074,26.32,-1971725.023926
JavaVector,double,1000,20000,8117134,405.86,-1889264.049221
JavaVector,double,10000,2000,6278945,3139.47,-1838162.822408
JavaVector,double,100000,200,6467658,32338.29,-1847050.257850
JavaVector,double,1000000,20,17896440,894822.00,-1836365.692440
JavaVector,double,10000000,2,19308745,9654372.50,-1836016.407984
JavaVector,double,100000000,1,91249404,91249404.00,-1830589.639622
