type,N,C-Ofast,C-native,Java,Java-Vector
short,10,0.2152,0.2166,0.6032,0.5746
short,100,0.13327999999999998,0.10632,0.2396,0.24526
short,1000,0.13630799999999998,0.10671800000000001,0.221226,0.226878
short,10000,0.13247,0.106057,0.21752399999999997,0.227394
short,100000,0.133971,0.104711,0.216254,0.223993
short,1000000,0.149325,0.111145,0.22741,0.231062
short,10000000,0.194948,0.166578,0.274217,0.2787
short,100000000,0.1992386,0.1805528,0.2733616,0.280003
int,10,0.306,0.2242,0.581,0.5862
int,100,0.31392,0.07338,0.11294,0.11846
int,1000,0.24413200000000002,0.07114,0.111124,0.112926
int,10000,0.23715999999999998,0.082367,0.105576,0.10946600000000001
int,100000,0.22254200000000002,0.082575,0.105763,0.112301
int,1000000,0.245265,0.166449,0.131323,0.150745
int,10000000,0.378887,0.308548,0.293919,0.303948
int,100000000,0.3824918,0.2963364,0.2906254,0.2958256
float,10,0.32320000000000004,0.2806,0.808,1.1168
float,100,0.32772,0.17536000000000002,0.31574,0.13838
float,1000,0.325642,0.16237200000000002,0.40555599999999997,0.05688
float,10000,0.326034,0.160951,0.41472299999999995,0.06782300000000001
float,100000,0.326412,0.16663099999999997,0.41802199999999995,0.061003999999999996
float,1000000,0.346092,0.192417,0.428141,0.125707
float,10000000,0.423883,0.361845,0.48503,0.287597
float,100000000,0.4098182,0.306961,0.4757714,0.2595666
double,10,0.1976,0.2144,0.5906,0.5644
double,100,0.12465999999999999,0.08276,0.2433,0.10208
double,1000,0.196176,0.093314,0.391598,0.09578
double,10000,0.21426199999999998,0.113158,0.43154499999999996,0.134694
double,100000,0.257857,0.21836,0.418435,0.238124
double,1000000,0.349777,0.335528,0.463507,0.283032
double,10000000,0.562391,0.532623,0.634825,0.516253
double,100000000,0.5472614,0.4983146,0.6141844,0.5048062
signed_char,10,0.304,0.31880000000000003,0.5738000000000001,0.614
signed_char,100,0.17251999999999998,0.161,0.24852,0.26045999999999997
signed_char,1000,0.17343,0.16584800000000002,0.220792,0.22478800000000002
signed_char,10000,0.17203,0.16281800000000002,0.23096999999999998,0.226725
signed_char,100000,0.176068,0.16270600000000002,0.21856299999999998,0.220901
signed_char,1000000,0.181854,0.166835,0.222801,0.223032
signed_char,10000000,0.182015,0.185858,0.233326,0.234051
signed_char,100000000,0.181442,0.1708764,0.2353158,0.2345146
