lang,type,N,avg_ns
C,signed_char,10,14.380000000000
C,signed_char,100,167.540000000000
C,signed_char,1000,1582.770000000000
C,signed_char,10000,15494.450000000000
C,signed_char,100000,149797.000000000000
C,signed_char,1000000,1449590.000000000000
C,signed_char,10000000,13731900.000000000000
C,signed_char,100000000,143337600.000000000000
C,short,10,14.810000000000
C,short,100,166.610000000000
C,short,1000,1518.580000000000
C,short,10000,15846.250000000000
C,short,100000,163571.000000000000
C,short,1000000,1663620.000000000000
C,short,10000000,15878750.000000000000
C,short,100000000,150008900.000000000000
C,int,10,14.410000000000
C,int,100,162.140000000000
C,int,1000,1539.390000000000
C,int,10000,16117.600000000000
C,int,100000,159674.000000000000
C,int,1000000,1328595.000000000000
C,int,10000000,15236400.000000000000
C,int,100000000,154054100.000000000000
C,float,10,14.320000000000
C,float,100,166.710000000000
C,float,1000,1710.650000000000
C,float,10000,17192.500000000000
C,float,100000,173742.500000000000
C,float,1000000,1742135.000000000000
C,float,10000000,17819100.000000000000
C,float,100000000,171020700.000000000000
C,double,10,14.100000000000
C,double,100,162.940000000000
C,double,1000,1705.710000000000
C,double,10000,17148.900000000000
C,double,100000,173438.500000000000
C,double,1000000,1699515.000000000000
C,double,10000000,17227000.000000000000
C,double,100000000,168983200.000000000000
