lang,type,N,mean_avg_ns,runs
C,double,10,2.366000,5
C,double,100,26.518000,5
C,double,1000,401.252000,5
C,double,10000,4266.780000,5
C,double,100000,45915.400000,5
C,double,1000000,495243.000000,5
C,double,10000000,6444820.000000,5
C,double,100000000,62038320.000000,5
C,float,10,3.784000,5
C,float,100,43.362000,5
C,float,1000,429.168000,5
C,float,10000,4312.870000,5
C,float,100000,43012.400000,5
C,float,1000000,444160.000000,5
C,float,10000000,5032220.000000,5
C,float,100000000,48796320.000000,5
C,int,10,2.808000,5
C,int,100,31.262000,5
C,int,1000,265.142000,5
C,int,10000,2253.130000,5
C,int,100000,21749.200000,5
C,int,1000000,252757.000000,5
C,int,10000000,4084240.000000,5
C,int,100000000,37384460.000000,5
C,short,10,2.436000,5
C,short,100,13.614000,5
C,short,1000,133.328000,5
C,short,10000,1296.900000,5
C,short,100000,15695.900000,5
C,short,1000000,154296.000000,5
C,short,10000000,1971820.000000,5
C,short,100000000,19008900.000000,5
C,signed_char,10,3.114000,5
C,signed_char,100,17.328000,5
C,signed_char,1000,170.052000,5
C,signed_char,10000,1712.240000,5
C,signed_char,100000,17161.700000,5
C,signed_char,1000000,181543.000000,5
C,signed_char,10000000,1813150.000000,5
C,signed_char,100000000,17909640.000000,5
