lang,type,N,median_avg_ns,runs
C,double,10,2.370000,5
C,double,100,28.870000,5
C,double,1000,401.800000,5
C,double,10000,4269.500000,5
C,double,100000,44856.000000,5
C,double,1000000,490685.000000,5
C,double,10000000,6489650.000000,5
C,double,100000000,60869700.000000,5
C,float,10,3.820000,5
C,float,100,43.270000,5
C,float,1000,437.750000,5
C,float,10000,4332.850000,5
C,float,100000,43463.000000,5
C,float,1000000,449960.000000,5
C,float,10000000,5142300.000000,5
C,float,100000000,49538400.000000,5
C,int,10,3.060000,5
C,int,100,29.660000,5
C,int,1000,258.120000,5
C,int,10000,2292.950000,5
C,int,100000,22056.000000,5
C,int,1000000,244325.000000,5
C,int,10000000,3875050.000000,5
C,int,100000000,38457600.000000,5
C,short,10,2.360000,5
C,short,100,13.450000,5
C,short,1000,132.330000,5
C,short,10000,1335.500000,5
C,short,100000,13642.500000,5
C,short,1000000,139995.000000,5
C,short,10000000,1921400.000000,5
C,short,100000000,19173100.000000,5
C,signed_char,10,3.060000,5
C,signed_char,100,17.510000,5
C,signed_char,1000,174.270000,5
C,signed_char,10000,1779.750000,5
C,signed_char,100000,17349.500000,5
C,signed_char,1000000,184250.000000,5
C,signed_char,10000000,1806400.000000,5
C,signed_char,100000000,18016400.000000,5
