lang,type,N,avg_ns
C,signed_char,10,3.060000000000
C,signed_char,100,16.830000000000
C,signed_char,1000,174.870000000000
C,signed_char,10000,1759.950000000000
C,signed_char,100000,18465.000000000000
C,signed_char,1000000,184875.000000000000
C,signed_char,10000000,1950650.000000000000
C,signed_char,100000000,17766900.000000000000
C,short,10,2.150000000000
C,short,100,13.070000000000
C,short,1000,130.150000000000
C,short,10000,1293.000000000000
C,short,100000,14233.500000000000
C,short,1000000,155745.000000000000
C,short,10000000,2175500.000000000000
C,short,100000000,23111500.000000000000
C,int,10,2.810000000000
C,int,100,30.140000000000
C,int,1000,259.940000000000
C,int,10000,2219.750000000000
C,int,100000,21626.500000000000
C,int,1000000,240330.000000000000
C,int,10000000,3822100.000000000000
C,int,100000000,37187200.000000000000
C,float,10,3.250000000000
C,float,100,32.740000000000
C,float,1000,324.060000000000
C,float,10000,3234.650000000000
C,float,100000,32513.000000000000
C,float,1000000,333795.000000000000
C,float,10000000,4149950.000000000000
C,float,100000000,41123700.000000000000
C,double,10,2.160000000000
C,double,100,12.550000000000
C,double,1000,196.110000000000
C,double,10000,2120.150000000000
C,double,100000,26352.000000000000
C,double,1000000,379555.000000000000
C,double,10000000,5442400.000000000000
C,double,100000000,52866000.000000000000
