lang,type,N,mean_avg_ns,runs
C,double,10,2.144000,5
C,double,100,8.276000,5
C,double,1000,93.314000,5
C,double,10000,1131.580000,5
C,double,100000,21836.000000,5
C,double,1000000,335528.000000,5
C,double,10000000,5326230.000000,5
C,double,100000000,49831460.000000,5
C,float,10,2.806000,5
C,float,100,17.536000,5
C,float,1000,162.372000,5
C,float,10000,1609.510000,5
C,float,100000,16663.100000,5
C,float,1000000,192417.000000,5
C,float,10000000,3618450.000000,5
C,float,100000000,30696100.000000,5
C,int,10,2.242000,5
C,int,100,7.338000,5
C,int,1000,71.140000,5
C,int,10000,823.670000,5
C,int,100000,8257.500000,5
C,int,1000000,166449.000000,5
C,int,10000000,3085480.000000,5
C,int,100000000,29633640.000000,5
C,short,10,2.166000,5
C,short,100,10.632000,5
C,short,1000,106.718000,5
C,short,10000,1060.570000,5
C,short,100000,10471.100000,5
C,short,1000000,111145.000000,5
C,short,10000000,1665780.000000,5
C,short,100000000,18055280.000000,5
C,signed_char,10,3.188000,5
C,signed_char,100,16.100000,5
C,signed_char,1000,165.848000,5
C,signed_char,10000,1628.180000,5
C,signed_char,100000,16270.600000,5
C,signed_char,1000000,166835.000000,5
C,signed_char,10000000,1858580.000000,5
C,signed_char,100000000,17087640.000000,5
