lang,type,N,avg_ns
C,signed_char,10,3.150000000000
C,signed_char,100,16.150000000000
C,signed_char,1000,164.600000000000
C,signed_char,10000,1649.250000000000
C,signed_char,100000,16448.000000000000
C,signed_char,1000000,167680.000000000000
C,signed_char,10000000,1711550.000000000000
C,signed_char,100000000,16348700.000000000000
C,short,10,2.090000000000
C,short,100,10.600000000000
C,short,1000,106.070000000000
C,short,10000,1068.600000000000
C,short,100000,10292.000000000000
C,short,1000000,107425.000000000000
C,short,10000000,1647500.000000000000
C,short,100000000,19333800.000000000000
C,int,10,2.250000000000
C,int,100,7.290000000000
C,int,1000,68.790000000000
C,int,10000,825.500000000000
C,int,100000,8187.000000000000
C,int,1000000,166520.000000000000
C,int,10000000,3512000.000000000000
C,int,100000000,28382500.000000000000
C,float,10,2.760000000000
C,float,100,17.150000000000
C,float,1000,158.470000000000
C,float,10000,1556.450000000000
C,float,100000,17134.000000000000
C,float,1000000,182705.000000000000
C,float,10000000,4142850.000000000000
C,float,100000000,28480000.000000000000
C,double,10,2.100000000000
C,double,100,8.150000000000
C,double,1000,91.740000000000
C,double,10000,1121.800000000000
C,double,100000,22546.500000000000
C,double,1000000,319220.000000000000
C,double,10000000,5304300.000000000000
C,double,100000000,48625300.000000000000
