lang,type,N,median_avg_ns,runs
Java,double,10,5.920000,5
Java,double,100,24.310000,5
Java,double,1000,387.780000,5
Java,double,10000,4274.400000,5
Java,double,100000,41800.000000,5
Java,double,1000000,459705.000000,5
Java,double,10000000,6271050.000000,5
Java,double,100000000,61309900.000000,5
Java,float,10,8.020000,5
Java,float,100,31.510000,5
Java,float,1000,402.450000,5
Java,float,10000,4111.400000,5
Java,float,100000,41853.500000,5
Java,float,1000000,426575.000000,5
Java,float,10000000,4797500.000000,5
Java,float,100000000,47195600.000000,5
Java,int,10,5.890000,5
Java,int,100,11.260000,5
Java,int,1000,108.120000,5
Java,int,10000,1045.500000,5
Java,int,100000,10561.500000,5
Java,int,1000000,131170.000000,5
Java,int,10000000,2944000.000000,5
Java,int,100000000,28959600.000000,5
Java,short,10,6.040000,5
Java,short,100,23.710000,5
Java,short,1000,225.030000,5
Java,short,10000,2144.350000,5
Java,short,100000,21348.000000,5
Java,short,1000000,232915.000000,5
Java,short,10000000,2785800.000000,5
Java,short,100000000,27031400.000000,5
Java,signed_char,10,5.650000,5
Java,signed_char,100,24.730000,5
Java,signed_char,1000,219.470000,5
Java,signed_char,10000,2347.950000,5
Java,signed_char,100000,21564.000000,5
Java,signed_char,1000000,215670.000000,5
Java,signed_char,10000000,2325250.000000,5
Java,signed_char,100000000,23287000.000000,5
