lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,10956600,5.48,-374030363170000
Java,signed_char,100,200000,4946800,24.73,-374030292970000
Java,signed_char,1000,20000,4386700,219.34,-374030273470000
Java,signed_char,10000,2000,4718700,2359.35,-374030284084000
Java,signed_char,100000,200,4502000,22510.00,-374030285408400
Java,signed_char,1000000,20,4646900,232345.00,-374030285402940
Java,signed_char,10000000,2,4525300,2262650.00,-374030286183352
Java,signed_char,100000000,1,22602500,22602500.00,-374030286567259
Java,short,10,2000000,12095600,6.05,-373052112567259
Java,short,100,200000,4669500,23.35,-373001594167259
Java,short,1000,20000,4319800,215.99,-373096496367259
Java,short,10000,2000,4288700,2144.35,-373060137543259
Java,short,100000,200,4267900,21339.50,-373023809981059
Java,short,1000000,20,4661800,233090.00,-373026410792699
Java,short,10000000,2,5333500,2666750.00,-373024098547367
Java,short,100000000,1,29438400,29438400.00,-373020377672475
Java,int,10,2000000,11182300,5.59,-1605160608923672475
Java,int,100,200000,2252100,11.26,-1576671207743672475
Java,int,1000,20000,2150900,107.55,-1333369834322432475
Java,int,10000,2000,2091000,1045.50,-1341280413219386475
Java,int,100000,200,2054400,10272.00,-1348761053089024275
Java,int,1000000,20,2974600,148730.00,-1348323743202163375
Java,int,10000000,2,5497300,2748650.00,-1351463425100254495
Java,int,100000000,1,28195200,28195200.00,-1352371752719832650
Java,float,10,2000000,16047400,8.02,-2399980.980814
Java,float,100,200000,6533000,32.67,-2113224.255706
Java,float,1000,20000,7939200,396.96,-2330813.528402
Java,float,10000,2000,8217100,4108.55,-2279918.255437
Java,float,100000,200,8444100,42220.50,-2278106.056705
Java,float,1000000,20,8632700,431635.00,-2282196.871913
Java,float,10000000,2,9592200,4796100.00,-2279632.748282
Java,float,100000000,1,48055400,48055400.00,-2280508.113961
Java,double,10,2000000,12266600,6.13,-1934530.156947
Java,double,100,200000,4760800,23.80,-1971724.987732
Java,double,1000,20000,7976900,398.85,-1889264.013028
Java,double,10000,2000,8515100,4257.55,-1838162.786215
Java,double,100000,200,8388400,41942.00,-1847050.221657
Java,double,1000000,20,9387800,469390.00,-1836365.656246
Java,double,10000000,2,12508900,6254450.00,-1836016.371791
Java,double,100000000,1,61015400,61015400.00,-1830589.603428
