lang,type,N,median_avg_ns,runs
JavaVector,double,10,5.600000,5
JavaVector,double,100,8.590000,5
JavaVector,double,1000,93.180000,5
JavaVector,double,10000,1327.850000,5
JavaVector,double,100000,23636.500000,5
JavaVector,double,1000000,266885.000000,5
JavaVector,double,10000000,5126150.000000,5
JavaVector,double,100000000,50967600.000000,5
JavaVector,float,10,11.300000,5
JavaVector,float,100,9.060000,5
JavaVector,float,1000,53.990000,5
JavaVector,float,10000,662.750000,5
JavaVector,float,100000,5954.500000,5
JavaVector,float,1000000,127685.000000,5
JavaVector,float,10000000,2879950.000000,5
JavaVector,float,100000000,26048800.000000,5
JavaVector,int,10,5.780000,5
JavaVector,int,100,11.870000,5
JavaVector,int,1000,114.760000,5
JavaVector,int,10000,1101.300000,5
JavaVector,int,100000,11302.500000,5
JavaVector,int,1000000,153175.000000,5
JavaVector,int,10000000,3052550.000000,5
JavaVector,int,100000000,29741900.000000,5
JavaVector,short,10,5.780000,5
JavaVector,short,100,24.230000,5
JavaVector,short,1000,218.970000,5
JavaVector,short,10000,2291.050000,5
JavaVector,short,100000,22586.500000,5
JavaVector,short,1000000,229935.000000,5
JavaVector,short,10000000,2775900.000000,5
JavaVector,short,100000000,27473700.000000,5
JavaVector,signed_char,10,6.020000,5
JavaVector,signed_char,100,25.860000,5
JavaVector,signed_char,1000,224.760000,5
JavaVector,signed_char,10000,2294.950000,5
JavaVector,signed_char,100000,22122.000000,5
JavaVector,signed_char,1000000,220635.000000,5
JavaVector,signed_char,10000000,2293600.000000,5
JavaVector,signed_char,100000000,23280400.000000,5
