lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,13871000,6.94,-250000000
C,signed_char,100,200000,9376000,46.88,-359200000
C,signed_char,1000,20000,7631000,381.55,-345260000
C,signed_char,10000,2000,7512000,3756.00,-356770000
C,signed_char,100000,200,8495000,42475.00,-347166400
C,signed_char,1000000,20,8114000,405700.00,-348140220
C,signed_char,10000000,2,9411000,4705500.00,-348206136
C,signed_char,100000000,1,50524000,50524000.00,-348616112
C,short,10,2000000,10336000,5.17,-923614616112
C,short,100,200000,7977000,39.88,-1401744816112
C,short,1000,20000,7761000,388.05,-870313296112
C,short,10000,2000,7911000,3955.50,-805490530112
C,short,100000,200,8273000,41365.00,-834381747512
C,short,1000000,20,8975000,448750.00,-848650115952
C,short,10000000,2,9329000,4664500.00,-848705383904
C,short,100000000,1,55711000,55711000.00,-849059864573
C,int,10,2000000,9434000,4.72,-1209262229715864573
C,int,100,200000,7791000,38.95,-1084038569968864573
C,int,1000,20000,8403000,420.15,-1390965931732164573
C,int,10000,2000,8179000,4089.50,-1457346695270218573
C,int,100000,200,8585000,42925.00,-1444455240526856773
C,int,1000000,20,10246000,512300.00,-1439537793917504293
C,int,10000000,2,12549000,6274500.00,-1436380432477685299
C,int,100000000,1,79999000,79999000.00,-1430386456639938164
C,float,10,2000000,16002000,8.00,1519362.421706
C,float,100,200000,23103000,115.52,1709330.855310
C,float,1000,20000,24646000,1232.30,2002245.513760
C,float,10000,2000,25645000,12822.50,2091637.019075
C,float,100000,200,25425000,127125.00,2109651.697204
C,float,1000000,20,28815000,1440750.00,2102934.703357
C,float,10000000,2,30800000,15400000.00,2100367.604967
C,float,100000000,1,164651000,164651000.00,2098426.009423
C,double,10,2000000,9110000,4.55,1647676.142759
C,double,100,200000,16027000,80.14,2388932.985149
C,double,1000,20000,23716000,1185.80,2344588.932216
C,double,10000,2000,25889000,12944.50,2388113.952215
C,double,100000,200,26220000,131100.00,2405788.834276
C,double,1000000,20,28808000,1440400.00,2403222.380152
C,double,10000000,2,30786000,15393000.00,2403048.033911
C,double,100000000,1,200194000,200194000.00,2398392.933472
