lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,18571000,9.29,-250000000
C,signed_char,100,200000,4184000,20.92,-359200000
C,signed_char,1000,20000,3872000,193.60,-345260000
C,signed_char,10000,2000,3464000,1732.00,-356770000
C,signed_char,100000,200,3052000,15260.00,-347166400
C,signed_char,1000000,20,3015000,150750.00,-348140220
C,signed_char,10000000,2,4708000,2354000.00,-348206136
C,signed_char,100000000,1,33116000,33116000.00,-348616112
C,short,10,2000000,11519000,5.76,-923614616112
C,short,100,200000,3039000,15.20,-1401744816112
C,short,1000,20000,3151000,157.55,-870313296112
C,short,10000,2000,3323000,1661.50,-805490530112
C,short,100000,200,3266000,16330.00,-834381747512
C,short,1000000,20,6407000,320350.00,-848650115952
C,short,10000000,2,6697000,3348500.00,-848705383904
C,short,100000000,1,52613000,52613000.00,-849059864573
C,int,10,2000000,21162000,10.58,-1209262229715864573
C,int,100,200000,4573000,22.86,-1084038569968864573
C,int,1000,20000,4132000,206.60,-1390965931732164573
C,int,10000,2000,4338000,2169.00,-1457346695270218573
C,int,100000,200,4624000,23120.00,-1444455240526856773
C,int,1000000,20,7432000,371600.00,-1439537793917504293
C,int,10000000,2,8711000,4355500.00,-1436380432477685299
C,int,100000000,1,93071000,93071000.00,-1430386456639938164
C,float,10,2000000,32880000,16.44,1519362.421706
C,float,100,200000,3220000,16.10,1709330.855310
C,float,1000,20000,2591000,129.55,2002245.513760
C,float,10000,2000,3312000,1656.00,2091637.019075
C,float,100000,200,3859000,19295.00,2109651.697204
C,float,1000000,20,6682000,334100.00,2102934.703357
C,float,10000000,2,7212000,3606000.00,2100367.604967
C,float,100000000,1,54953000,54953000.00,2098426.009423
C,double,10,2000000,9892000,4.95,1647676.142759
C,double,100,200000,1963000,9.81,2388932.985149
C,double,1000,20000,1710000,85.50,2344588.932216
C,double,10000,2000,3868000,1934.00,2388113.952215
C,double,100000,200,4970000,24850.00,2405788.834276
C,double,1000000,20,17211000,860550.00,2403222.380152
C,double,10000000,2,21655000,10827500.00,2403048.033911
C,double,100000000,1,145397000,145397000.00,2398392.933472
