lang,type,N,avg_ns
C,signed_char,10,27.430000000000
C,signed_char,100,221.130000000000
C,signed_char,1000,1970.150000000000
C,signed_char,10000,17303.500000000000
C,signed_char,100000,182035.000000000000
C,signed_char,1000000,1890450.000000000000
C,signed_char,10000000,19021000.000000000000
C,signed_char,100000000,195929000.000000000000
C,short,10,24.250000000000
C,short,100,191.480000000000
C,short,1000,1691.700000000000
C,short,10000,16896.000000000000
C,short,100000,180965.000000000000
C,short,1000000,1873550.000000000000
C,short,10000000,20350500.000000000000
C,short,100000000,213695000.000000000000
C,int,10,24.200000000000
C,int,100,171.170000000000
C,int,1000,1619.150000000000
C,int,10000,17362.500000000000
C,int,100000,171760.000000000000
C,int,1000000,1809200.000000000000
C,int,10000000,19555500.000000000000
C,int,100000000,205717000.000000000000
C,float,10,26.590000000000
C,float,100,291.370000000000
C,float,1000,2950.450000000000
C,float,10000,29773.000000000000
C,float,100000,303575.000000000000
C,float,1000000,3276050.000000000000
C,float,10000000,33866500.000000000000
C,float,100000000,330654000.000000000000
C,double,10,25.620000000000
C,double,100,272.660000000000
C,double,1000,2837.400000000000
C,double,10000,29307.000000000000
C,double,100000,303605.000000000000
C,double,1000000,3245800.000000000000
C,double,10000000,34666000.000000000000
C,double,100000000,368221000.000000000000
