lang,type,N,mean_avg_ns,runs
C,double,10,28.114000,5
C,double,100,299.714000,5
C,double,1000,2964.230000,5
C,double,10000,31304.900000,5
C,double,100000,323563.000000,5
C,double,1000000,3341960.000000,5
C,double,10000000,36383700.000000,5
C,double,100000000,422782000.000000,5
C,float,10,27.530000,5
C,float,100,294.318000,5
C,float,1000,2972.110000,5
C,float,10000,30264.800000,5
C,float,100000,312111.000000,5
C,float,1000000,3303290.000000,5
C,float,10000000,35237200.000000,5
C,float,100000000,382894000.000000,5
C,int,10,25.138000,5
C,int,100,186.402000,5
C,int,1000,1760.420000,5
C,int,10000,19610.700000,5
C,int,100000,193916.000000,5
C,int,1000000,2243860.000000,5
C,int,10000000,26000100.000000,5
C,int,100000000,239590600.000000,5
C,short,10,27.010000,5
C,short,100,251.022000,5
C,short,1000,1744.910000,5
C,short,10000,29882.800000,5
C,short,100000,245139.000000,5
C,short,1000000,2186220.000000,5
C,short,10000000,37346300.000000,5
C,short,100000000,257079400.000000,5
C,signed_char,10,25.898000,5
C,signed_char,100,187.856000,5
C,signed_char,1000,1715.530000,5
C,signed_char,10000,16461.300000,5
C,signed_char,100000,180071.000000,5
C,signed_char,1000000,1747900.000000,5
C,signed_char,10000000,19800400.000000,5
C,signed_char,100000000,247348200.000000,5
