lang,type,N,avg_ns
C,signed_char,10,24.560000000000
C,signed_char,100,175.100000000000
C,signed_char,1000,1606.500000000000
C,signed_char,10000,16624.000000000000
C,signed_char,100000,207395.000000000000
C,signed_char,1000000,1771050.000000000000
C,signed_char,10000000,20747000.000000000000
C,signed_char,100000000,186325000.000000000000
C,short,10,27.160000000000
C,short,100,176.900000000000
C,short,1000,1696.300000000000
C,short,10000,16979.000000000000
C,short,100000,189905.000000000000
C,short,1000000,2256950.000000000000
C,short,10000000,17243000.000000000000
C,short,100000000,209719000.000000000000
C,int,10,23.690000000000
C,int,100,175.720000000000
C,int,1000,1676.450000000000
C,int,10000,22471.000000000000
C,int,100000,185520.000000000000
C,int,1000000,3110500.000000000000
C,int,10000000,20084500.000000000000
C,int,100000000,267301000.000000000000
C,float,10,26.340000000000
C,float,100,313.790000000000
C,float,1000,2882.100000000000
C,float,10000,29290.500000000000
C,float,100000,296000.000000000000
C,float,1000000,3196700.000000000000
C,float,10000000,43273500.000000000000
C,float,100000000,360509000.000000000000
C,double,10,33.220000000000
C,double,100,347.320000000000
C,double,1000,3007.650000000000
C,double,10000,29084.500000000000
C,double,100000,340660.000000000000
C,double,1000000,3445450.000000000000
C,double,10000000,33347500.000000000000
C,double,100000000,406283000.000000000000
