lang,type,N,median_avg_ns,runs
C,double,10,8.340000,5
C,double,100,84.330000,5
C,double,1000,1219.100000,5
C,double,10000,12997.000000,5
C,double,100000,135990.000000,5
C,double,1000000,1487950.000000,5
C,double,10000000,16771500.000000,5
C,double,100000000,192445000.000000,5
C,float,10,8.480000,5
C,float,100,116.770000,5
C,float,1000,1273.850000,5
C,float,10000,12973.500000,5
C,float,100000,132810.000000,5
C,float,1000000,1463400.000000,5
C,float,10000000,15039000.000000,5
C,float,100000000,170737000.000000,5
C,int,10,7.770000,5
C,int,100,68.460000,5
C,int,1000,601.250000,5
C,int,10000,6263.500000,5
C,int,100000,61120.000000,5
C,int,1000000,749050.000000,5
C,int,10000000,8561000.000000,5
C,int,100000000,100705000.000000,5
C,short,10,5.870000,5
C,short,100,72.190000,5
C,short,1000,635.100000,5
C,short,10000,6642.500000,5
C,short,100000,70640.000000,5
C,short,1000000,740200.000000,5
C,short,10000000,7774500.000000,5
C,short,100000000,82564000.000000,5
C,signed_char,10,8.540000,5
C,signed_char,100,69.490000,5
C,signed_char,1000,603.400000,5
C,signed_char,10000,5914.000000,5
C,signed_char,100000,61215.000000,5
C,signed_char,1000000,664550.000000,5
C,signed_char,10000000,7001500.000000,5
C,signed_char,100000000,74731000.000000,5
