lang,type,N,mean_avg_ns,runs
C,double,10,7.960000,5
C,double,100,14.048000,5
C,double,1000,175.500000,5
C,double,10000,2392.900000,5
C,double,100000,38883.000000,5
C,double,1000000,1292510.000000,5
C,double,10000000,11282700.000000,5
C,double,100000000,183441800.000000,5
C,float,10,8.064000,5
C,float,100,16.668000,5
C,float,1000,128.930000,5
C,float,10000,1659.700000,5
C,float,100000,17786.000000,5
C,float,1000000,314110.000000,5
C,float,10000000,3915300.000000,5
C,float,100000000,61412600.000000,5
C,int,10,5.838000,5
C,int,100,16.018000,5
C,int,1000,164.530000,5
C,int,10000,1901.100000,5
C,int,100000,19784.000000,5
C,int,1000000,1349530.000000,5
C,int,10000000,4549200.000000,5
C,int,100000000,62275800.000000,5
C,short,10,5.528000,5
C,short,100,16.244000,5
C,short,1000,158.520000,5
C,short,10000,1624.200000,5
C,short,100000,15963.000000,5
C,short,1000000,216470.000000,5
C,short,10000000,2772900.000000,5
C,short,100000000,32668200.000000,5
C,signed_char,10,6.620000,5
C,signed_char,100,17.268000,5
C,signed_char,1000,173.050000,5
C,signed_char,10000,1673.600000,5
C,signed_char,100000,17881.000000,5
C,signed_char,1000000,189660.000000,5
C,signed_char,10000000,1942300.000000,5
C,signed_char,100000000,20645200.000000,5
