lang,type,N,median_avg_ns,runs
C,double,10,5.120000,5
C,double,100,10.710000,5
C,double,1000,90.200000,5
C,double,10000,1719.500000,5
C,double,100000,26355.000000,5
C,double,1000000,990100.000000,5
C,double,10000000,10922500.000000,5
C,double,100000000,158948000.000000,5
C,float,10,7.890000,5
C,float,100,16.610000,5
C,float,1000,128.850000,5
C,float,10000,1653.000000,5
C,float,100000,17490.000000,5
C,float,1000000,315450.000000,5
C,float,10000000,3921000.000000,5
C,float,100000000,52963000.000000,5
C,int,10,5.660000,5
C,int,100,16.290000,5
C,int,1000,160.250000,5
C,int,10000,1919.000000,5
C,int,100000,17950.000000,5
C,int,1000000,397200.000000,5
C,int,10000000,4500500.000000,5
C,int,100000000,56690000.000000,5
C,short,10,5.510000,5
C,short,100,15.210000,5
C,short,1000,158.150000,5
C,short,10000,1596.000000,5
C,short,100000,15995.000000,5
C,short,1000000,218150.000000,5
C,short,10000000,2624500.000000,5
C,short,100000000,32268000.000000,5
C,signed_char,10,6.210000,5
C,signed_char,100,16.140000,5
C,signed_char,1000,172.250000,5
C,signed_char,10000,1635.000000,5
C,signed_char,100000,16600.000000,5
C,signed_char,1000000,200150.000000,5
C,signed_char,10000000,2002000.000000,5
C,signed_char,100000000,20389000.000000,5
