lang,type,N,avg_ns
C,signed_char,10,9.340000000000
C,signed_char,100,22.890000000000
C,signed_char,1000,185.200000000000
C,signed_char,10000,1716.500000000000
C,signed_char,100000,16475.000000000000
C,signed_char,1000000,200150.000000000000
C,signed_char,10000000,2073500.000000000000
C,signed_char,100000000,18734000.000000000000
C,short,10,5.510000000000
C,short,100,18.230000000000
C,short,1000,158.600000000000
C,short,10000,1562.000000000000
C,short,100000,17265.000000000000
C,short,1000000,218150.000000000000
C,short,10000000,2525500.000000000000
C,short,100000000,40773000.000000000000
C,int,10,7.050000000000
C,int,100,16.700000000000
C,int,1000,182.800000000000
C,int,10000,2203.000000000000
C,int,100000,26535.000000000000
C,int,1000000,409750.000000000000
C,int,10000000,5671000.000000000000
C,int,100000000,92938000.000000000000
C,float,10,8.600000000000
C,float,100,16.660000000000
C,float,1000,132.250000000000
C,float,10000,1653.000000000000
C,float,100000,17470.000000000000
C,float,1000000,316250.000000000000
C,float,10000000,3921000.000000000000
C,float,100000000,52963000.000000000000
C,double,10,5.060000000000
C,double,100,14.190000000000
C,double,1000,87.150000000000
C,double,10000,1719.500000000000
C,double,100000,28580.000000000000
C,double,1000000,1047100.000000000000
C,double,10000000,10922500.000000000000
C,double,100000000,158948000.000000000000
