lang,type,N,mean_avg_ns,runs
C,double,10,6.188000,5
C,double,100,39.546000,5
C,double,1000,380.540000,5
C,double,10000,5831.800000,5
C,double,100000,60962.000000,5
C,double,1000000,1052570.000000,5
C,double,10000000,11839900.000000,5
C,double,100000000,151858400.000000,5
C,float,10,5.728000,5
C,float,100,33.354000,5
C,float,1000,325.020000,5
C,float,10000,3358.800000,5
C,float,100000,34441.000000,5
C,float,1000000,473490.000000,5
C,float,10000000,4745000.000000,5
C,float,100000000,91053000.000000,5
C,int,10,4.854000,5
C,int,100,40.484000,5
C,int,1000,392.580000,5
C,int,10000,4021.900000,5
C,int,100000,43183.000000,5
C,int,1000000,572990.000000,5
C,int,10000000,6465800.000000,5
C,int,100000000,88612000.000000,5
C,short,10,5.120000,5
C,short,100,41.488000,5
C,short,1000,398.040000,5
C,short,10000,4021.900000,5
C,short,100000,41962.000000,5
C,short,1000000,437650.000000,5
C,short,10000000,5251400.000000,5
C,short,100000000,58373600.000000,5
C,signed_char,10,5.946000,5
C,signed_char,100,45.874000,5
C,signed_char,1000,382.720000,5
C,signed_char,10000,4363.100000,5
C,signed_char,100000,41428.000000,5
C,signed_char,1000000,481470.000000,5
C,signed_char,10000000,5101800.000000,5
C,signed_char,100000000,59600400.000000,5
