lang,type,N,median_avg_ns,runs
C,double,10,4.610000,5
C,double,100,25.950000,5
C,double,1000,307.400000,5
C,double,10000,3624.000000,5
C,double,100000,39515.000000,5
C,double,1000000,808150.000000,5
C,double,10000000,10067000.000000,5
C,double,100000000,113976000.000000,5
C,float,10,5.810000,5
C,float,100,33.300000,5
C,float,1000,319.100000,5
C,float,10000,3311.000000,5
C,float,100000,33275.000000,5
C,float,1000000,472900.000000,5
C,float,10000000,4758000.000000,5
C,float,100000000,65316000.000000,5
C,int,10,4.820000,5
C,int,100,39.520000,5
C,int,1000,393.550000,5
C,int,10000,3970.500000,5
C,int,100000,41960.000000,5
C,int,1000000,580300.000000,5
C,int,10000000,5949500.000000,5
C,int,100000000,83291000.000000,5
C,short,10,4.970000,5
C,short,100,40.570000,5
C,short,1000,396.000000,5
C,short,10000,3962.000000,5
C,short,100000,40000.000000,5
C,short,1000000,431150.000000,5
C,short,10000000,5109000.000000,5
C,short,100000000,56953000.000000,5
C,signed_char,10,5.150000,5
C,signed_char,100,45.840000,5
C,signed_char,1000,386.600000,5
C,signed_char,10000,4024.500000,5
C,signed_char,100000,40880.000000,5
C,signed_char,1000000,429150.000000,5
C,signed_char,10000000,4955000.000000,5
C,signed_char,100000000,49867000.000000,5
