lang,type,N,avg_ns
C,signed_char,10,4.880000000000
C,signed_char,100,42.080000000000
C,signed_char,1000,376.050000000000
C,signed_char,10000,4365.500000000000
C,signed_char,100000,41755.000000000000
C,signed_char,1000000,429150.000000000000
C,signed_char,10000000,5640500.000000000000
C,signed_char,100000000,53504000.000000000000
C,short,10,5.980000000000
C,short,100,43.970000000000
C,short,1000,400.850000000000
C,short,10000,4074.500000000000
C,short,100000,38430.000000000000
C,short,1000000,439400.000000000000
C,short,10000000,5090000.000000000000
C,short,100000000,57983000.000000000000
C,int,10,4.990000000000
C,int,100,39.520000000000
C,int,1000,390.700000000000
C,int,10000,3970.500000000000
C,int,100000,46580.000000000000
C,int,1000000,580300.000000000000
C,int,10000000,5882000.000000000000
C,int,100000000,77878000.000000000000
C,float,10,5.880000000000
C,float,100,33.300000000000
C,float,1000,343.300000000000
C,float,10000,3224.500000000000
C,float,100000,34740.000000000000
C,float,1000000,484300.000000000000
C,float,10000000,4736500.000000000000
C,float,100000000,65316000.000000000000
C,double,10,4.610000000000
C,double,100,30.990000000000
C,double,1000,305.700000000000
C,double,10000,3598.000000000000
C,double,100000,36615.000000000000
C,double,1000000,741250.000000000000
C,double,10000000,9596000.000000000000
C,double,100000000,105614000.000000000000
