type,N,C-O0,C-O1,C-O2,C-O3,C-Ofast,Java
short,10,2.3222,0.5328,0.5204,0.4826,0.512,0.9496
short,100,1.71016,0.68978,0.42228,0.40740000000000004,0.41487999999999997,0.56636
short,1000,1.59347,0.6084299999999999,0.40941000000000005,0.39094999999999996,0.39804,0.442428
short,10000,1.63189,0.6128899999999999,0.40460999999999997,0.40972,0.40219,0.4296874
short,100000,1.68789,1.49811,0.42229,0.40703,0.41962,0.43870196000000006
short,1000000,1.70892,0.66675,0.45003,0.40901,0.43765,0.51188438
short,10000000,1.85803,0.70534,0.51909,0.45121,0.52514,0.52454984
short,100000000,1.79556,0.754454,0.513434,0.542012,0.583736,0.761798718
int,10,2.3228,0.757,0.4702,0.47220000000000006,0.4854,0.967
int,100,1.6690399999999999,0.6563,0.38060000000000005,0.37866,0.40484000000000003,0.52314
int,1000,2.7014699999999996,0.58529,0.38321,0.38247000000000003,0.39258,0.498448
int,10000,1.63115,0.58635,0.38804,0.38459,0.40219,0.45432619999999996
int,100000,1.70723,0.58886,0.39693,0.39266,0.43183,0.43330394
int,1000000,2.60661,0.68089,0.4952,0.49163,0.57299,0.6121436899999999
int,10000000,1.87588,0.75296,0.57127,0.56914,0.64658,0.68726589
int,100000000,1.95917,1.089172,0.744094,0.748556,0.88612,0.761105982
float,10,2.545,0.8298,0.7812,0.783,0.5728,1.8940000000000001
float,100,2.69076,1.13696,1.1063800000000001,1.1166800000000001,0.33354,1.3547200000000001
float,1000,2.80052,1.22735,1.23749,1.22627,0.32502,1.286984
float,10000,2.85966,1.24443,1.25322,1.25724,0.33588,1.780544
float,100000,2.85723,1.25047,1.26682,1.25367,0.34441,1.7490377400000001
float,1000000,2.9879,1.35648,1.36523,1.37691,0.47349,1.78514579
float,10000000,2.92455,1.8226,1.4078,1.39757,0.4745,1.7632402100000002
float,100000000,3.338428,1.550384,1.513374,1.515408,0.91053,1.7299814059999998
double,10,2.5566,0.784,0.4422,0.4574,0.6188,0.9118
double,100,2.67046,0.8216800000000001,0.7795000000000001,0.7766,0.39546,0.9106000000000001
double,1000,2.7894099999999997,1.189,1.19275,1.18317,0.38054000000000004,1.301266
double,10000,2.85347,1.2559,1.2580200000000001,1.24953,0.58318,1.3188776
double,100000,2.90847,1.26891,1.2639,1.27855,0.60962,1.3772000599999998
double,1000000,3.01059,1.36001,1.32454,1.32424,1.05257,1.5771954099999999
double,10000000,3.20091,1.53229,1.47206,1.44004,1.18399,1.52521955
double,100000000,3.556624,1.79531,1.686486,1.757602,1.518584,1.558816322
signed_char,10,2.394,0.8542,0.5734,0.518,0.5946,1.3144
signed_char,100,1.70718,0.6723,0.45426,0.42678,0.45874000000000004,0.71428
signed_char,1000,1.59509,0.60427,0.39536,0.39897000000000005,0.38272,0.5393600000000001
signed_char,10000,1.61075,0.6028399999999999,0.38745999999999997,0.41315,0.43631000000000003,0.6210812
signed_char,100000,1.69737,0.61897,0.40779,0.41591,0.41428,0.60960052
signed_char,1000000,1.72742,0.66605,0.42131,0.45456,0.48147,0.63966255
signed_char,10000000,1.77636,0.64026,0.41538,0.42797,0.51018,1.06631547
signed_char,100000000,1.773156,0.69154,0.493414,0.468902,0.596004,0.7173891440000001
