type,N,C-O0,C-O1,C-O2,C-O3,C-Ofast,Java
short,10,2.314,0.532,0.503,0.481,0.497,0.933
short,100,1.7006999999999999,0.6895,0.4075,0.4046,0.4057,0.5364
short,1000,1.5955,0.6055,0.4149,0.3856,0.396,0.45929000000000003
short,10000,1.62165,0.6069,0.4044,0.39255,0.3962,0.430154
short,100000,1.67405,0.70215,0.42535,0.40495,0.4,0.4437244
short,1000000,1.7152,0.64175,0.4161,0.40485,0.43115,0.5189578
short,10000000,1.69745,0.706,0.49685,0.4469,0.5109,0.52578285
short,100000000,1.76069,0.75113,0.51529,0.5283,0.56953,0.52652154
int,10,2.314,0.753,0.465,0.46699999999999997,0.48200000000000004,0.914
int,100,1.6709,0.6594,0.3833,0.37939999999999996,0.39520000000000005,0.5063
int,1000,1.5794000000000001,0.5839500000000001,0.38380000000000003,0.38425,0.39355,0.46988
int,10000,1.5814,0.58175,0.3887,0.37995,0.39705,0.450799
int,100000,1.65995,0.5894,0.3947,0.38835,0.4196,0.4290932
int,1000000,1.761,0.6776,0.4953,0.49045,0.5803,0.5916007
int,10000000,1.80135,0.74875,0.55945,0.56215,0.59495,0.63830435
int,100000000,1.87555,0.84458,0.73353,0.73251,0.83291,0.61565532
float,10,2.5460000000000003,0.833,0.783,0.783,0.581,1.841
float,100,2.6924,1.1318000000000001,1.1084,1.1164,0.33299999999999996,1.3221
float,1000,2.8039,1.2247999999999999,1.2365,1.2272,0.31910000000000005,1.28
float,10000,2.85905,1.24035,1.24235,1.2516,0.3311,1.678041
float,100000,2.8432,1.25185,1.2714,1.25375,0.33275,1.7713444
float,1000000,3.0022,1.35245,1.36305,1.3661,0.4729,1.7660547
float,10000000,2.9208,1.36325,1.41175,1.3818,0.4758,1.76785115
float,100000000,3.20614,1.5573,1.50395,1.51156,0.65316,1.70633548
double,10,2.544,0.778,0.437,0.466,0.461,0.96
double,100,2.6736,0.8143,0.7798999999999999,0.7791,0.2595,0.8916
double,1000,2.7780500000000004,1.1915,1.1956,1.1798499999999998,0.30739999999999995,1.27115
double,10000,2.82945,1.24845,1.25365,1.24365,0.3624,1.332311
double,100000,2.867,1.274,1.25945,1.2832,0.39515,1.3931925
double,1000000,2.94165,1.36495,1.32025,1.3289,0.80815,1.428505
double,10000000,3.11595,1.54695,1.47415,1.42765,1.0067,1.4679079
double,100000000,3.39567,1.7619,1.70152,1.71032,1.13976,1.5826253
signed_char,10,2.323,0.786,0.483,0.504,0.515,0.9640000000000001
signed_char,100,1.704,0.6531999999999999,0.42479999999999996,0.4254,0.45840000000000003,0.5106
signed_char,1000,1.59875,0.58515,0.38589999999999997,0.38695,0.3866,0.4456
signed_char,10000,1.6249,0.57595,0.38935,0.40355,0.40245,0.443547
signed_char,100000,1.6138,0.6252,0.39925,0.41025,0.4088,0.5473079
signed_char,1000000,1.6791,0.67465,0.4152,0.42685,0.42915,0.6355834
signed_char,10000000,1.78275,0.6282,0.41735,0.4314,0.4955,0.7322249
signed_char,100000000,1.7822,0.68919,0.4811,0.46574,0.49867,0.71810111
