lang,type,N,median_avg_ns,runs
C,double,10,4.370000,5
C,double,100,77.990000,5
C,double,1000,1195.600000,5
C,double,10000,12536.500000,5
C,double,100000,125945.000000,5
C,double,1000000,1320250.000000,5
C,double,10000000,14741500.000000,5
C,double,100000000,170152000.000000,5
C,float,10,7.830000,5
C,float,100,110.840000,5
C,float,1000,1236.500000,5
C,float,10000,12423.500000,5
C,float,100000,127140.000000,5
C,float,1000000,1363050.000000,5
C,float,10000000,14117500.000000,5
C,float,100000000,150395000.000000,5
C,int,10,4.650000,5
C,int,100,38.330000,5
C,int,1000,383.800000,5
C,int,10000,3887.000000,5
C,int,100000,39470.000000,5
C,int,1000000,495300.000000,5
C,int,10000000,5594500.000000,5
C,int,100000000,73353000.000000,5
C,short,10,5.030000,5
C,short,100,40.750000,5
C,short,1000,414.900000,5
C,short,10000,4044.000000,5
C,short,100000,42535.000000,5
C,short,1000000,416100.000000,5
C,short,10000000,4968500.000000,5
C,short,100000000,51529000.000000,5
C,signed_char,10,4.830000,5
C,signed_char,100,42.480000,5
C,signed_char,1000,385.900000,5
C,signed_char,10000,3893.500000,5
C,signed_char,100000,39925.000000,5
C,signed_char,1000000,415200.000000,5
C,signed_char,10000000,4173500.000000,5
C,signed_char,100000000,48110000.000000,5
