lang,type,N,avg_ns
C,signed_char,10,4.830000000000
C,signed_char,100,44.270000000000
C,signed_char,1000,376.750000000000
C,signed_char,10000,3784.000000000000
C,signed_char,100000,39280.000000000000
C,signed_char,1000000,437950.000000000000
C,signed_char,10000000,3878500.000000000000
C,signed_char,100000000,46501000.000000000000
C,short,10,4.740000000000
C,short,100,40.750000000000
C,short,1000,403.450000000000
C,short,10000,4044.000000000000
C,short,100000,42745.000000000000
C,short,1000000,416100.000000000000
C,short,10000000,4890500.000000000000
C,short,100000000,50256000.000000000000
C,int,10,4.650000000000
C,int,100,38.870000000000
C,int,1000,379.450000000000
C,int,10000,3874.500000000000
C,int,100000,39040.000000000000
C,int,1000000,507400.000000000000
C,int,10000000,5594500.000000000000
C,int,100000000,75495000.000000000000
C,float,10,7.440000000000
C,float,100,108.090000000000
C,float,1000,1253.500000000000
C,float,10000,12982.500000000000
C,float,100000,127140.000000000000
C,float,1000000,1356400.000000000000
C,float,10000000,14644500.000000000000
C,float,100000000,150003000.000000000000
C,double,10,4.320000000000
C,double,100,78.080000000000
C,double,1000,1182.200000000000
C,double,10000,12717.500000000000
C,double,100000,125805.000000000000
C,double,1000000,1312600.000000000000
C,double,10000000,14821000.000000000000
C,double,100000000,170152000.000000000000
