lang,type,N,avg_ns
C,signed_char,10,4.860000000000
C,signed_char,100,42.870000000000
C,signed_char,1000,386.750000000000
C,signed_char,10000,3841.500000000000
C,signed_char,100000,39610.000000000000
C,signed_char,1000000,397350.000000000000
C,signed_char,10000000,4089500.000000000000
C,signed_char,100000000,47858000.000000000000
C,short,10,4.910000000000
C,short,100,39.950000000000
C,short,1000,385.600000000000
C,short,10000,3925.500000000000
C,short,100000,42720.000000000000
C,short,1000000,394300.000000000000
C,short,10000000,4444500.000000000000
C,short,100000000,55788000.000000000000
C,int,10,4.640000000000
C,int,100,38.220000000000
C,int,1000,386.350000000000
C,int,10000,3784.500000000000
C,int,100000,38845.000000000000
C,int,1000000,528400.000000000000
C,int,10000000,5557000.000000000000
C,int,100000000,71852000.000000000000
C,float,10,7.810000000000
C,float,100,111.950000000000
C,float,1000,1227.200000000000
C,float,10000,12517.000000000000
C,float,100000,126035.000000000000
C,float,1000000,1425050.000000000000
C,float,10000000,13771000.000000000000
C,float,100000000,148991000.000000000000
C,double,10,4.420000000000
C,double,100,77.910000000000
C,double,1000,1177.150000000000
C,double,10000,12705.500000000000
C,double,100000,130425.000000000000
C,double,1000000,1328900.000000000000
C,double,10000000,14274000.000000000000
C,double,100000000,197710000.000000000000
