lang,type,N,mean_avg_ns,runs
Java,double,10,9.118000,5
Java,double,100,91.060000,5
Java,double,1000,1301.266000,5
Java,double,10000,13188.776000,5
Java,double,100000,137720.006000,5
Java,double,1000000,1577195.410000,5
Java,double,10000000,15252195.500000,5
Java,double,100000000,155881632.200000,5
Java,float,10,18.940000,5
Java,float,100,135.472000,5
Java,float,1000,1286.984000,5
Java,float,10000,17805.440000,5
Java,float,100000,174903.774000,5
Java,float,1000000,1785145.790000,5
Java,float,10000000,17632402.100000,5
Java,float,100000000,172998140.600000,5
Java,int,10,9.670000,5
Java,int,100,52.314000,5
Java,int,1000,498.448000,5
Java,int,10000,4543.262000,5
Java,int,100000,43330.394000,5
Java,int,1000000,612143.690000,5
Java,int,10000000,6872658.900000,5
Java,int,100000000,76110598.200000,5
Java,short,10,9.496000,5
Java,short,100,56.636000,5
Java,short,1000,442.428000,5
Java,short,10000,4296.874000,5
Java,short,100000,43870.196000,5
Java,short,1000000,511884.380000,5
Java,short,10000000,5245498.400000,5
Java,short,100000000,76179871.800000,5
Java,signed_char,10,13.144000,5
Java,signed_char,100,71.428000,5
Java,signed_char,1000,539.360000,5
Java,signed_char,10000,6210.812000,5
Java,signed_char,100000,60960.052000,5
Java,signed_char,1000000,639662.550000,5
Java,signed_char,10000000,10663154.700000,5
Java,signed_char,100000000,71738914.400000,5
