lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,19280103,9.64,-374030363170000
Java,signed_char,100,200000,9959612,49.80,-374030292970000
Java,signed_char,1000,20000,8653570,432.68,-374030273470000
Java,signed_char,10000,2000,7657092,3828.55,-374030284084000
Java,signed_char,100000,200,8323522,41617.61,-374030285408400
Java,signed_char,1000000,20,12711668,635583.40,-374030285402940
Java,signed_char,10000000,2,14644498,7322249.00,-374030286183352
Java,signed_char,100000000,1,70139735,70139735.00,-374030286567259
Java,short,10,2000000,18657681,9.33,-373052112567259
Java,short,100,200000,14710581,73.55,-373001594167259
Java,short,1000,20000,9346526,467.33,-373096496367259
Java,short,10000,2000,8766333,4383.17,-373060137543259
Java,short,100000,200,8874488,44372.44,-373023809981059
Java,short,1000000,20,10379156,518957.80,-373026410792699
Java,short,10000000,2,10080552,5040276.00,-373024098547367
Java,short,100000000,1,175093524,175093524.00,-373020377672475
Java,int,10,2000000,24031004,12.02,-1605160608923672475
Java,int,100,200000,12279187,61.40,-1576671207743672475
Java,int,1000,20000,13116593,655.83,-1333369834322432475
Java,int,10000,2000,10207308,5103.65,-1341280413219386475
Java,int,100000,200,9447894,47239.47,-1348761053089024275
Java,int,1000000,20,11832014,591600.70,-1348323743202163375
Java,int,10000000,2,19263601,9631800.50,-1351463425100254495
Java,int,100000000,1,60505983,60505983.00,-1352371752719832650
Java,float,10,2000000,35371485,17.69,-2399980.980814
Java,float,100,200000,26441718,132.21,-2113224.255706
Java,float,1000,20000,24925255,1246.26,-2330813.528402
Java,float,10000,2000,32909918,16454.96,-2279918.255437
Java,float,100000,200,33570324,167851.62,-2278106.056705
Java,float,1000000,20,35234320,1761716.00,-2282196.871913
Java,float,10000000,2,35586201,17793100.50,-2279632.748282
Java,float,100000000,1,179864409,179864409.00,-2280508.113961
Java,double,10,2000000,19202815,9.60,-1934530.156947
Java,double,100,200000,21313841,106.57,-1971724.987732
Java,double,1000,20000,28344577,1417.23,-1889264.013028
Java,double,10000,2000,26774053,13387.03,-1838162.786215
Java,double,100000,200,27267975,136339.88,-1847050.221657
Java,double,1000000,20,29955512,1497775.60,-1836365.656246
Java,double,10000000,2,29629618,14814809.00,-1836016.371791
Java,double,100000000,1,167035715,167035715.00,-1830589.603428
