lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,18868437,9.43,-374030363170000
JavaVector,signed_char,100,200000,10472716,52.36,-374030292970000
JavaVector,signed_char,1000,20000,7896533,394.83,-374030273470000
JavaVector,signed_char,10000,2000,8748558,4374.28,-374030284084000
JavaVector,signed_char,100000,200,8815610,44078.05,-374030285408400
JavaVector,signed_char,1000000,20,16031868,801593.40,-374030285402940
JavaVector,signed_char,10000000,2,15024144,7512072.00,-374030286183352
JavaVector,signed_char,100000000,1,72450311,72450311.00,-374030286567259
JavaVector,short,10,2000000,18463652,9.23,-373052112567259
JavaVector,short,100,200000,9926875,49.63,-373001594167259
JavaVector,short,1000,20000,8339184,416.96,-373096496367259
JavaVector,short,10000,2000,11209893,5604.95,-373060137543259
JavaVector,short,100000,200,10498327,52491.64,-373023809981059
JavaVector,short,1000000,20,9645392,482269.60,-373026410792699
JavaVector,short,10000000,2,9474598,4737299.00,-373024098547367
JavaVector,short,100000000,1,50225359,50225359.00,-373020377672475
JavaVector,int,10,2000000,20036998,10.02,-1605160608923672475
JavaVector,int,100,200000,10409288,52.05,-1576671207743672475
JavaVector,int,1000,20000,8888673,444.43,-1333369834322432475
JavaVector,int,10000,2000,9003220,4501.61,-1341280413219386475
JavaVector,int,100000,200,7920573,39602.87,-1348761053089024275
JavaVector,int,1000000,20,11209546,560477.30,-1348323743202163375
JavaVector,int,10000000,2,11477711,5738855.50,-1351463425100254495
JavaVector,int,100000000,1,55928401,55928401.00,-1352371752719832650
JavaVector,float,10,2000000,33512045,16.76,-2399980.996720
JavaVector,float,100,200000,5284245,26.42,-2113224.383820
JavaVector,float,1000,20000,2461633,123.08,-2330813.743103
JavaVector,float,10000,2000,3103985,1551.99,-2279918.452728
JavaVector,float,100000,200,3201067,16005.34,-2278106.225289
JavaVector,float,1000000,20,7267147,363357.35,-2282197.054756
JavaVector,float,10000000,2,12592890,6296445.00,-2279632.987374
JavaVector,float,100000000,1,47327631,47327631.00,-2280508.150154
JavaVector,double,10,2000000,19736683,9.87,-1934530.193141
JavaVector,double,100,200000,5286152,26.43,-1971725.023926
JavaVector,double,1000,20000,5862670,293.13,-1889264.049221
JavaVector,double,10000,2000,7005210,3502.61,-1838162.822408
JavaVector,double,100000,200,6593903,32969.52,-1847050.257850
JavaVector,double,1000000,20,18513511,925675.55,-1836365.692440
JavaVector,double,10000000,2,19691946,9845973.00,-1836016.407984
JavaVector,double,100000000,1,96692142,96692142.00,-1830589.639622
