type,N,C-O0,C-O1,C-O2,C-O3,C-Ofast,Java
short,10,1.4778,0.3198,0.24359999999999998,0.2484,0.2152,0.6032
short,100,1.67902,0.3407,0.13614,0.15078,0.13327999999999998,0.2396
short,1000,1.590792,0.249062,0.133328,0.13254,0.13630799999999998,0.221226
short,10000,1.591577,0.233839,0.12969,0.13608299999999998,0.13247,0.21752399999999997
short,100000,1.632194,0.216638,0.156959,0.139997,0.133971,0.216254
short,1000000,1.623338,0.226227,0.154296,0.148121,0.149325,0.22741
short,10000000,1.579489,0.280502,0.197182,0.194741,0.194948,0.274217
short,100000000,1.5520524,0.2650208,0.190089,0.1914836,0.1992386,0.2733616
int,10,1.452,0.3268,0.2808,0.3144,0.306,0.581
int,100,1.62612,0.3013,0.31262,0.3014,0.31392,0.11294
int,1000,1.5552940000000002,0.23473,0.265142,0.266994,0.24413200000000002,0.111124
int,10000,1.6180219999999998,0.233506,0.225313,0.229742,0.23715999999999998,0.105576
int,100000,1.6142320000000001,0.230956,0.21749200000000002,0.233682,0.22254200000000002,0.105763
int,1000000,1.540458,0.26139,0.252757,0.242749,0.245265,0.131323
int,10000000,1.56562,0.391213,0.408424,0.393988,0.378887,0.293919
int,100000000,1.5378998,0.3843694,0.3738446,0.3839768,0.3824918,0.2906254
float,10,1.4356,0.3686,0.37839999999999996,0.3814,0.32320000000000004,0.808
float,100,1.66076,0.37528,0.43362,0.4322,0.32772,0.31574
float,1000,1.7089480000000001,0.42288600000000004,0.429168,0.436802,0.325642,0.40555599999999997
float,10000,1.7253720000000001,0.432519,0.431287,0.43195200000000006,0.326034,0.41472299999999995
float,100000,1.709306,0.439501,0.430124,0.436404,0.326412,0.41802199999999995
float,1000000,1.732556,0.448265,0.44416,0.450852,0.346092,0.428141
float,10000000,1.728236,0.492376,0.503222,0.513295,0.423883,0.48503
float,100000000,1.7076824,0.4798448,0.4879632,0.5073442,0.4098182,0.4757714
double,10,1.4243999999999999,0.23820000000000002,0.2366,0.2378,0.1976,0.5906
double,100,1.6279599999999999,0.26574000000000003,0.26518,0.28756,0.12465999999999999,0.2433
double,1000,1.712928,0.40103,0.401252,0.400452,0.196176,0.391598
double,10000,1.717597,0.42572,0.426678,0.42795600000000006,0.21426199999999998,0.43154499999999996
double,100000,1.737365,0.444728,0.459154,0.450642,0.257857,0.418435
double,1000000,1.746725,0.494412,0.495243,0.485049,0.349777,0.463507
double,10000000,1.752197,0.661387,0.644482,0.641186,0.562391,0.634825
double,100000000,1.723522,0.6283566,0.6203832,0.6217388,0.5472614,0.6141844
signed_char,10,1.4474,0.314,0.3114,0.3064,0.304,0.5738000000000001
signed_char,100,1.66766,0.29174,0.17328,0.17553999999999997,0.17251999999999998,0.24852
signed_char,1000,1.569094,0.232284,0.17005199999999998,0.17446799999999998,0.17343,0.220792
signed_char,10000,1.594924,0.22805799999999998,0.171224,0.175347,0.17203,0.23096999999999998
signed_char,100000,1.5339120000000002,0.21586400000000003,0.17161700000000002,0.179324,0.176068,0.21856299999999998
signed_char,1000000,1.452143,0.218915,0.181543,0.185679,0.181854,0.222801
signed_char,10000000,1.374964,0.22787,0.181315,0.187913,0.182015,0.233326
signed_char,100000000,1.4254556,0.2239868,0.1790964,0.1776044,0.181442,0.2353158
