type,N,C-O0,C-O1,C-O2,C-O3,C-Ofast,Java
short,10,1.45,0.32799999999999996,0.23700000000000002,0.236,0.21400000000000002,0.604
short,100,1.6894999999999998,0.3435,0.1369,0.13449999999999998,0.13119999999999998,0.2371
short,1000,1.61384,0.25474,0.13399,0.13233,0.13796,0.22503
short,10000,1.5861100000000001,0.234015,0.13022999999999998,0.13355,0.13182,0.214435
short,100000,1.618165,0.214695,0.133035,0.136425,0.1352,0.21348
short,1000000,1.608845,0.22599,0.161395,0.139995,0.155745,0.232915
short,10000000,1.587875,0.25796,0.194685,0.19214,0.19163,0.27858
short,100000000,1.525574,0.25811,0.188924,0.191731,0.188819,0.270314
int,10,1.442,0.32999999999999996,0.27999999999999997,0.306,0.309,0.589
int,100,1.6169,0.30269999999999997,0.2959,0.2966,0.3014,0.11259999999999999
int,1000,1.55123,0.23466,0.26189999999999997,0.25812,0.24652000000000002,0.10812000000000001
int,10000,1.6163100000000001,0.22341,0.224215,0.22929499999999997,0.221975,0.10455
int,100000,1.61674,0.222315,0.21697,0.22056,0.221135,0.105615
int,1000000,1.544245,0.244305,0.245715,0.244325,0.24089,0.13117
int,10000000,1.526535,0.37502,0.39252,0.387505,0.38004,0.2944
int,100000000,1.540541,0.380628,0.373183,0.384576,0.373662,0.289596
float,10,1.436,0.368,0.378,0.382,0.322,0.8019999999999999
float,100,1.6621000000000001,0.376,0.4334,0.43270000000000003,0.3274,0.3151
float,1000,1.70592,0.42296,0.43265,0.43775,0.3256,0.40245
float,10000,1.720835,0.43331499999999995,0.43308500000000005,0.43328500000000003,0.32595,0.41113999999999995
float,100000,1.71756,0.438815,0.42913,0.43463,0.32513,0.418535
float,1000000,1.742135,0.44904,0.444505,0.44996,0.34553,0.426575
float,10000000,1.737165,0.491325,0.507195,0.51423,0.41722,0.47975
float,100000000,1.704755,0.477978,0.486684,0.495384,0.411237,0.471956
double,10,1.41,0.23700000000000002,0.236,0.23700000000000002,0.193,0.592
double,100,1.6266999999999998,0.2648,0.2662,0.2887,0.1251,0.24309999999999998
double,1000,1.70571,0.40013,0.40162,0.4018,0.19619,0.38777999999999996
double,10000,1.7148900000000002,0.42585,0.42508500000000005,0.42695,0.21405500000000002,0.42744
double,100000,1.734385,0.444045,0.4534,0.44856,0.26352,0.418
double,1000000,1.741865,0.48729,0.494605,0.490685,0.358615,0.459705
double,10000000,1.7227,0.661475,0.64743,0.648965,0.561395,0.627105
double,100000000,1.725696,0.623958,0.609947,0.608697,0.549368,0.613099
signed_char,10,1.471,0.315,0.31,0.306,0.305,0.5650000000000001
signed_char,100,1.6484999999999999,0.2952,0.1722,0.1751,0.17300000000000001,0.2473
signed_char,1000,1.58277,0.2322,0.17063,0.17427,0.17128,0.21947
signed_char,10000,1.5664799999999999,0.22693000000000002,0.1721,0.177975,0.17215,0.23479499999999998
signed_char,100000,1.52318,0.21676,0.17242,0.173495,0.17442,0.21564
signed_char,1000000,1.44959,0.21878,0.18027,0.18425,0.184875,0.21567
signed_char,10000000,1.370585,0.22496,0.18251,0.18064,0.18116,0.232525
signed_char,100000000,1.433376,0.224853,0.178332,0.180164,0.181253,0.23287
