lang,type,N,median_avg_ns,runs
C,double,10,14.100000,5
C,double,100,162.670000,5
C,double,1000,1705.710000,5
C,double,10000,17148.900000,5
C,double,100000,173438.500000,5
C,double,1000000,1741865.000000,5
C,double,10000000,17227000.000000,5
C,double,100000000,172569600.000000,5
C,float,10,14.360000,5
C,float,100,166.210000,5
C,float,1000,1705.920000,5
C,float,10000,17208.350000,5
C,float,100000,171756.000000,5
C,float,1000000,1742135.000000,5
C,float,10000000,17371650.000000,5
C,float,100000000,170475500.000000,5
C,int,10,14.420000,5
C,int,100,161.690000,5
C,int,1000,1551.230000,5
C,int,10000,16163.100000,5
C,int,100000,161674.000000,5
C,int,1000000,1544245.000000,5
C,int,10000000,15265350.000000,5
C,int,100000000,154054100.000000,5
C,short,10,14.500000,5
C,short,100,168.950000,5
C,short,1000,1613.840000,5
C,short,10000,15861.100000,5
C,short,100000,161816.500000,5
C,short,1000000,1608845.000000,5
C,short,10000000,15878750.000000,5
C,short,100000000,152557400.000000,5
C,signed_char,10,14.710000,5
C,signed_char,100,164.850000,5
C,signed_char,1000,1582.770000,5
C,signed_char,10000,15664.800000,5
C,signed_char,100000,152318.000000,5
C,signed_char,1000000,1449590.000000,5
C,signed_char,10000000,13705850.000000,5
C,signed_char,100000000,143337600.000000,5
