lang,type,N,avg_ns
C,signed_char,10,3.100000000000
C,signed_char,100,17.710000000000
C,signed_char,1000,173.120000000000
C,signed_char,10000,1710.150000000000
C,signed_char,100000,17094.500000000000
C,signed_char,1000000,179220.000000000000
C,signed_char,10000000,1850900.000000000000
C,signed_char,100000000,17862200.000000000000
C,short,10,2.370000000000
C,short,100,13.770000000000
C,short,1000,133.990000000000
C,short,10000,1302.300000000000
C,short,100000,13303.500000000000
C,short,1000000,170725.000000000000
C,short,10000000,1863500.000000000000
C,short,100000000,19372100.000000000000
C,int,10,2.850000000000
C,int,100,29.410000000000
C,int,1000,295.230000000000
C,int,10000,2242.150000000000
C,int,100000,21242.000000000000
C,int,1000000,264105.000000000000
C,int,10000000,5028850.000000000000
C,int,100000000,38018300.000000000000
C,float,10,3.820000000000
C,float,100,43.290000000000
C,float,1000,427.440000000000
C,float,10000,4281.400000000000
C,float,100000,42673.000000000000
C,float,1000000,432770.000000000000
C,float,10000000,5127850.000000000000
C,float,100000000,50348000.000000000000
C,double,10,2.360000000000
C,double,100,27.130000000000
C,double,1000,400.000000000000
C,double,10000,4250.850000000000
C,double,100000,44924.000000000000
C,double,1000000,515405.000000000000
C,double,10000000,6217600.000000000000
C,double,100000000,60994700.000000000000
