lang,type,N,mean_avg_ns,runs
C,double,10,2.378000,5
C,double,100,28.756000,5
C,double,1000,400.452000,5
C,double,10000,4279.560000,5
C,double,100000,45064.200000,5
C,double,1000000,485049.000000,5
C,double,10000000,6411860.000000,5
C,double,100000000,62173880.000000,5
C,float,10,3.814000,5
C,float,100,43.220000,5
C,float,1000,436.802000,5
C,float,10000,4319.520000,5
C,float,100000,43640.400000,5
C,float,1000000,450852.000000,5
C,float,10000000,5132950.000000,5
C,float,100000000,50734420.000000,5
C,int,10,3.144000,5
C,int,100,30.140000,5
C,int,1000,266.994000,5
C,int,10000,2297.420000,5
C,int,100000,23368.200000,5
C,int,1000000,242749.000000,5
C,int,10000000,3939880.000000,5
C,int,100000000,38397680.000000,5
C,short,10,2.484000,5
C,short,100,15.078000,5
C,short,1000,132.540000,5
C,short,10000,1360.830000,5
C,short,100000,13999.700000,5
C,short,1000000,148121.000000,5
C,short,10000000,1947410.000000,5
C,short,100000000,19148360.000000,5
C,signed_char,10,3.064000,5
C,signed_char,100,17.554000,5
C,signed_char,1000,174.468000,5
C,signed_char,10000,1753.470000,5
C,signed_char,100000,17932.400000,5
C,signed_char,1000000,185679.000000,5
C,signed_char,10000000,1879130.000000,5
C,signed_char,100000000,17760440.000000,5
