lang,type,N,avg_ns
C,signed_char,10,3.020000000000
C,signed_char,100,18.050000000000
C,signed_char,1000,174.270000000000
C,signed_char,10000,1779.750000000000
C,signed_char,100000,16948.000000000000
C,signed_char,1000000,178275.000000000000
C,signed_char,10000000,1806400.000000000000
C,signed_char,100000000,18017000.000000000000
C,short,10,2.360000000000
C,short,100,13.450000000000
C,short,1000,133.670000000000
C,short,10000,1335.500000000000
C,short,100000,12919.500000000000
C,short,1000000,165440.000000000000
C,short,10000000,1796850.000000000000
C,short,100000000,19173100.000000000000
C,int,10,3.010000000000
C,int,100,29.330000000000
C,int,1000,284.310000000000
C,int,10000,2365.550000000000
C,int,100000,21702.500000000000
C,int,1000000,245545.000000000000
C,int,10000000,3822750.000000000000
C,int,100000000,38457600.000000000000
C,float,10,3.820000000000
C,float,100,43.330000000000
C,float,1000,439.180000000000
C,float,10000,4374.250000000000
C,float,100000,43346.500000000000
C,float,1000000,447565.000000000000
C,float,10000000,5119050.000000000000
C,float,100000000,49243700.000000000000
C,double,10,2.360000000000
C,double,100,28.420000000000
C,double,1000,401.800000000000
C,double,10000,4269.500000000000
C,double,100000,44677.000000000000
C,double,1000000,493385.000000000000
C,double,10000000,6038800.000000000000
C,double,100000000,61660500.000000000000
