lang,type,N,avg_ns
C,signed_char,10,3.050000000000
C,signed_char,100,17.300000000000
C,signed_char,1000,179.380000000000
C,signed_char,10000,1721.500000000000
C,signed_char,100000,17193.000000000000
C,signed_char,1000000,187210.000000000000
C,signed_char,10000000,1794200.000000000000
C,signed_char,100000000,17847600.000000000000
C,short,10,2.140000000000
C,short,100,13.120000000000
C,short,1000,137.960000000000
C,short,10000,1294.200000000000
C,short,100000,13520.000000000000
C,short,1000000,159295.000000000000
C,short,10000000,1833950.000000000000
C,short,100000000,18518600.000000000000
C,int,10,3.090000000000
C,int,100,29.740000000000
C,int,1000,229.040000000000
C,int,10000,2332.800000000000
C,int,100000,21954.000000000000
C,int,1000000,262115.000000000000
C,int,10000000,3744200.000000000000
C,int,100000000,37366200.000000000000
C,float,10,3.220000000000
C,float,100,32.620000000000
C,float,1000,327.480000000000
C,float,10000,3236.150000000000
C,float,100000,33077.000000000000
C,float,1000000,333490.000000000000
C,float,10000000,4169050.000000000000
C,float,100000000,40596100.000000000000
C,double,10,1.920000000000
C,double,100,12.550000000000
C,double,1000,196.260000000000
C,double,10000,2165.900000000000
C,double,100000,26467.500000000000
C,double,1000000,358615.000000000000
C,double,10000000,5613950.000000000000
C,double,100000000,54936800.000000000000
