lang,type,N,mean_avg_ns,runs
C,double,10,1.976000,5
C,double,100,12.466000,5
C,double,1000,196.176000,5
C,double,10000,2142.620000,5
C,double,100000,25785.700000,5
C,double,1000000,349777.000000,5
C,double,10000000,5623910.000000,5
C,double,100000000,54726140.000000,5
C,float,10,3.232000,5
C,float,100,32.772000,5
C,float,1000,325.642000,5
C,float,10000,3260.340000,5
C,float,100000,32641.200000,5
C,float,1000000,346092.000000,5
C,float,10000000,4238830.000000,5
C,float,100000000,40981820.000000,5
C,int,10,3.060000,5
C,int,100,31.392000,5
C,int,1000,244.132000,5
C,int,10000,2371.600000,5
C,int,100000,22254.200000,5
C,int,1000000,245265.000000,5
C,int,10000000,3788870.000000,5
C,int,100000000,38249180.000000,5
C,short,10,2.152000,5
C,short,100,13.328000,5
C,short,1000,136.308000,5
C,short,10000,1324.700000,5
C,short,100000,13397.100000,5
C,short,1000000,149325.000000,5
C,short,10000000,1949480.000000,5
C,short,100000000,19923860.000000,5
C,signed_char,10,3.040000,5
C,signed_char,100,17.252000,5
C,signed_char,1000,173.430000,5
C,signed_char,10000,1720.300000,5
C,signed_char,100000,17606.800000,5
C,signed_char,1000000,181854.000000,5
C,signed_char,10000000,1820150.000000,5
C,signed_char,100000000,18144200.000000,5
