lang,type,N,median_avg_ns,runs
C,double,10,1.930000,5
C,double,100,12.510000,5
C,double,1000,196.190000,5
C,double,10000,2140.550000,5
C,double,100000,26352.000000,5
C,double,1000000,358615.000000,5
C,double,10000000,5613950.000000,5
C,double,100000000,54936800.000000,5
C,float,10,3.220000,5
C,float,100,32.740000,5
C,float,1000,325.600000,5
C,float,10000,3259.500000,5
C,float,100000,32513.000000,5
C,float,1000000,345530.000000,5
C,float,10000000,4172200.000000,5
C,float,100000000,41123700.000000,5
C,int,10,3.090000,5
C,int,100,30.140000,5
C,int,1000,246.520000,5
C,int,10000,2219.750000,5
C,int,100000,22113.500000,5
C,int,1000000,240890.000000,5
C,int,10000000,3800400.000000,5
C,int,100000000,37366200.000000,5
C,short,10,2.140000,5
C,short,100,13.120000,5
C,short,1000,137.960000,5
C,short,10000,1318.200000,5
C,short,100000,13520.000000,5
C,short,1000000,155745.000000,5
C,short,10000000,1916300.000000,5
C,short,100000000,18881900.000000,5
C,signed_char,10,3.050000,5
C,signed_char,100,17.300000,5
C,signed_char,1000,171.280000,5
C,signed_char,10000,1721.500000,5
C,signed_char,100000,17442.000000,5
C,signed_char,1000000,184875.000000,5
C,signed_char,10000000,1811600.000000,5
C,signed_char,100000000,18125300.000000,5
