lang,type,N,median_avg_ns,runs
C,double,10,2.160000,5
C,double,100,8.290000,5
C,double,1000,93.630000,5
C,double,10000,1126.050000,5
C,double,100000,21908.500000,5
C,double,1000000,319220.000000,5
C,double,10000000,5279850.000000,5
C,double,100000000,49614500.000000,5
C,float,10,2.850000,5
C,float,100,17.340000,5
C,float,1000,163.710000,5
C,float,10000,1612.950000,5
C,float,100000,16770.500000,5
C,float,1000000,193370.000000,5
C,float,10000000,3439300.000000,5
C,float,100000000,30531600.000000,5
C,int,10,2.250000,5
C,int,100,7.130000,5
C,int,1000,69.140000,5
C,int,10000,827.850000,5
C,int,100000,8096.000000,5
C,int,1000000,166520.000000,5
C,int,10000000,2982600.000000,5
C,int,100000000,28382500.000000,5
C,short,10,2.160000,5
C,short,100,10.600000,5
C,short,1000,106.450000,5
C,short,10000,1068.600000,5
C,short,100000,10434.000000,5
C,short,1000000,112075.000000,5
C,short,10000000,1657950.000000,5
C,short,100000000,17998200.000000,5
C,signed_char,10,3.150000,5
C,signed_char,100,16.130000,5
C,signed_char,1000,164.600000,5
C,signed_char,10000,1649.250000,5
C,signed_char,100000,16398.000000,5
C,signed_char,1000000,168085.000000,5
C,signed_char,10000000,1869800.000000,5
C,signed_char,100000000,16348700.000000,5
